"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205241_551";"0.0";2.2;21.0;"Nyclei";0.642;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205241_551";1.6;1.7;15.0;"Phogri";0.21;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205244_228";"0.0";1.4;21.0;"Nyclei";0.496;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205821_006";"0.0";1.8;53.0;"Pippip";0.794;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205821_006";1.1;3.3;16.0;"noise";0.512;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205857_618";"0.0";0.1;19.0;"Phogri";0.298;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205917_035";"0.0";2.4;52.0;"Pippip";0.768;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205927_238";"0.0";1.4;53.0;"Pippip";0.778;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205927_238";0.9;1.0;34.0;"noise";0.506;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_205944_113";"0.0";1.3;54.0;"Pippip";0.656;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210000_728";"0.0";1.9;52.0;"Pippip";0.766;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210042_809";"0.0";0.3;52.0;"Pippip";0.598;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210103_947";"0.0";2.0;51.0;"Pippip";0.83;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210108_855";"0.0";0.3;54.0;"Pippip";0.536;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210111_639";"0.0";3.6;56.0;"Pippip";0.538;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210115_795";"0.0";0.1;51.0;"Pippip";0.514;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210144_653";"0.0";2.6;55.0;"Pippip";0.674;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210149_653";"0.0";0.1;71.0;"noise";0.464;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210229_991";"0.0";4.9;55.0;"Pippip";0.824;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210229_991";1.8;1.9;16.0;"Phanan";0.382;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210237_774";"0.0";5.0;54.0;"Pippip";0.796;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210237_774";1.8;1.9;18.0;"noise";0.452;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210242_774";"0.0";2.4;60.0;"Pippip";0.832;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210242_774";0.8;0.9;30.0;"noise";0.398;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210249_495";"0.0";2.9;53.0;"Pippip";0.874;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210302_975";"0.0";5.0;58.0;"Pippip";0.788;"Pippyg";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210302_975";0.7;3.3;16.0;"noise";0.656;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210307_975";"0.0";1.9;55.0;"Pippip";0.734;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210315_558";"0.0";3.4;51.0;"Pippip";0.874;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210315_558";0.7;3.7;16.0;"noise";0.578;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210322_045";"0.0";4.3;55.0;"Pippip";0.82;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210322_045";3.2;3.3;16.0;"noise";0.576;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210329_810";"0.0";2.6;54.0;"Pippip";0.878;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210329_810";2.2;2.3;17.0;"noise";0.406;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210338_091";"0.0";3.6;55.0;"Pippip";0.814;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210338_091";2.4;2.5;14.0;"noise";0.372;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210354_913";"0.0";3.1;55.0;"Pippip";0.794;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210401_945";"0.0";0.1;56.0;"Pippip";0.308;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210406_000";"0.0";2.4;54.0;"Pippip";0.762;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210412_053";"0.0";1.9;53.0;"Pippip";0.848;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210427_933";"0.0";5.0;55.0;"Pippip";0.812;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210427_933";2.9;3.9;15.0;"noise";0.502;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210432_933";0.3;1.2;52.0;"Pippip";0.564;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210516_757";"0.0";5.0;56.0;"Pippip";0.77;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210521_757";"0.0";4.9;55.0;"Pippip";0.786;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210521_757";2.9;3.0;16.0;"noise";0.278;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210526_757";0.1;0.5;50.0;"Pippip";0.748;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210539_199";"0.0";4.4;51.0;"Pippip";0.786;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210544_199";0.6;3.6;55.0;"Pippip";0.634;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210544_199";1.6;1.7;12.0;"noise";0.444;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210622_277";"0.0";4.4;55.0;"Pippip";0.572;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210622_277";0.1;4.8;16.0;"noise";0.426;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210806_796";"0.0";4.7;55.0;"Pippip";0.586;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210818_829";"0.0";3.6;56.0;"Pippip";0.648;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_210834_921";"0.0";4.9;55.0;"Pippip";0.6;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211351_250";"0.0";3.9;55.0;"Pippip";0.586;"noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211405_000";1.6;4.6;51.0;"Myonat";0.434;"noise, Myodau, Myocap, Myoema";"Myoema";"PROBABLE";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211447_459";"0.0";5.0;55.0;"Pippip";0.604;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211447_459";"0.0";2.6;16.0;"noise";0.384;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211452_459";"0.0";0.5;54.0;"Pippip";0.438;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211549_271";"0.0";4.5;48.0;"noise";0.68;"Pipkuh";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211549_271";0.2;5.0;49.0;"Pipkuh";0.664;"Hypsav";"Pipkuh";"SUR";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211554_271";"0.0";1.8;37.0;"Pipkuh";0.334;"Pipnat";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211633_623";"0.0";4.9;21.0;"Nycnoc";0.526;"Eptser, Nyclei, noise";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211638_623";"0.0";5.0;21.0;"Eptser";0.51;"Nycnoc, Nyclei";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211638_623";3.9;4.0;19.0;"Nycnoc";0.296;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211643_623";"0.0";4.7;56.0;"Pippip";0.788;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211643_623";0.1;4.1;21.0;"noise";0.474;"Nycnoc, Nyclei";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211643_623";2.3;2.4;21.0;"Nycnoc";0.4;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211712_740";0.5;4.0;55.0;"Pippip";0.672;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211712_740";"0.0";1.7;16.0;"noise";0.396;"Phogri";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211726_085";"0.0";3.1;55.0;"Pippip";0.65;"";"";"";"";""
"Car370313-2016-Pass1-Z1-US-15542-0_20160902_211736_537";"0.0";3.0;57.0;"Pippip";0.488;"";"";"";"";""
