"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir440730-2016-Pass2-Tron1-Chiro_1_00029_989";"0.0";0.5;94.0;"noise";0.542;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00034_987";"0.0";0.5;130.0;"noise";0.614;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00039_985";"0.0";0.5;127.0;"noise";0.632;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00044_983";"0.0";0.5;87.0;"noise";0.682;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00044_983";"0.0";0.3;51.0;"Pippip";0.602;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00049_981";"0.0";0.5;97.0;"noise";0.658;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00049_981";0.2;0.5;49.0;"Pippip";0.58;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00054_979";"0.0";0.5;125.0;"noise";0.646;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00059_977";"0.0";0.5;128.0;"noise";0.624;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00059_977";0.1;0.3;57.0;"Pippip";0.446;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00064_975";"0.0";0.5;76.0;"noise";0.524;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00064_975";0.2;0.3;50.0;"Pippip";0.458;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00069_973";"0.0";0.5;132.0;"noise";0.592;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00074_971";"0.0";0.5;125.0;"noise";0.702;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00074_971";0.3;0.4;59.0;"Pippip";0.236;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00079_970";"0.0";0.5;120.0;"Pippip";0.558;"noise";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00079_970";0.1;0.3;19.0;"noise";0.52;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00084_968";"0.0";0.5;89.0;"noise";0.728;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00084_968";"0.0";0.5;53.0;"Pippip";0.412;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00089_966";"0.0";0.5;105.0;"noise";0.64;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00089_966";0.1;0.2;57.0;"Pippip";0.282;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00094_964";"0.0";0.5;118.0;"noise";0.684;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00094_964";"0.0";0.5;56.0;"Pippip";0.422;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00099_962";"0.0";0.5;122.0;"noise";0.674;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00099_962";0.1;0.5;51.0;"Pippip";0.662;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00104_960";"0.0";0.5;116.0;"noise";0.714;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00104_960";"0.0";0.5;53.0;"Pippip";0.484;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00109_958";"0.0";0.5;117.0;"noise";0.644;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00109_958";"0.0";0.5;55.0;"Pippip";0.612;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00114_956";"0.0";0.5;114.0;"noise";0.594;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00114_956";"0.0";0.5;56.0;"Pippip";0.36;"Pippyg";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00119_954";"0.0";0.5;88.0;"noise";0.612;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00119_954";"0.0";0.5;55.0;"Pippip";0.492;"Pipkuh";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00124_952";"0.0";0.5;121.0;"noise";0.668;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00124_952";"0.0";0.5;54.0;"Pippip";0.39;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00129_950";"0.0";0.5;121.0;"noise";0.566;"Pippip";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00129_950";"0.0";0.5;52.0;"Pippip";0.528;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00134_949";"0.0";0.5;124.0;"noise";0.66;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00134_949";"0.0";0.3;50.0;"Pippip";0.584;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00139_947";"0.0";0.5;121.0;"noise";0.58;"";"";"";"";""
"Cir440730-2016-Pass2-Tron1-Chiro_1_00144_945";"0.0";0.5;126.0;"noise";0.67;"Pippip";"";"";"";""
