"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_223958_029";"0.0";0.1;12.0;"noise";0.558;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224116_631";1.8;5.0;48.0;"Pippip";0.828;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224657_647";1.3;1.4;49.0;"Pippip";0.352;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224938_589";2.8;5.0;45.0;"Myocap";0.324;"Myodau, Myonat, Myoema";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_224943_589";"0.0";0.7;45.0;"Myodau";0.278;"Myonat, Myocap, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225514_785";3.6;4.7;50.0;"Pippip";0.768;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225519_785";1.6;2.9;49.0;"Pippip";0.624;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225524_785";0.4;4.9;51.0;"Pippip";0.882;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_225530_547";2.4;2.5;50.0;"Pippip";0.378;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230024_387";3.1;3.2;49.0;"Pippip";0.378;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230128_380";1.9;4.1;51.0;"Pippip";0.522;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230133_380";0.7;5.0;51.0;"Pippip";0.784;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230138_380";"0.0";3.7;52.0;"Pippip";0.792;"Pippyg";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230143_380";2.5;5.0;51.0;"Pippip";0.702;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230148_380";0.5;1.1;52.0;"Pippip";0.21;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230613_352";1.0;4.7;51.0;"Pippip";0.558;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230618_352";0.3;4.1;51.0;"Pippip";0.694;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230623_352";1.5;4.3;50.0;"Pippip";0.5;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230628_352";1.5;1.9;50.0;"Pippip";0.588;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230637_917";2.2;3.4;51.0;"Pippip";0.616;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230642_917";0.5;2.9;51.0;"Pippip";0.694;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230902_209";2.5;2.6;18.0;"noise";0.51;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230937_209";4.9;5.0;11.0;"noise";0.744;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_230954_016";2.8;2.9;15.0;"noise";0.396;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_232454_195";0.4;0.5;16.0;"noise";0.532;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_232459_195";4.4;4.5;15.0;"noise";0.614;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_232519_195";1.2;1.3;15.0;"noise";0.728;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_233757_485";0.8;2.5;46.0;"Myodau";0.328;"Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_233830_163";0.7;3.1;49.0;"Myodau";0.25;"Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_233855_163";0.4;4.4;50.0;"Pippip";0.782;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160717_235944_770";0.6;3.1;52.0;"Pippip";0.746;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_001634_993";4.4;4.8;52.0;"Pippip";0.462;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_002424_806";1.6;3.8;54.0;"Myoalc";0.264;"Myoema";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_002424_806";2.4;3.5;63.0;"Myonat";0.254;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_003211_477";4.9;5.0;11.0;"noise";0.724;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_003811_389";2.2;3.9;47.0;"noise";0.29;"Myodau, Myomys";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_003811_389";1.8;4.1;46.0;"Myocap";0.282;"Myodau, Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_004302_907";0.4;4.8;49.0;"noise";0.478;"Myonat";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_004302_907";0.2;5.0;48.0;"Myonat";0.294;"Myodau, Myomys, Myocap";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_004332_907";3.2;5.0;46.0;"Myonat";0.27;"Myomys, Myodau, noise, Myocap";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_004337_907";"0.0";0.7;44.0;"Myonat";0.314;"Myodau";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_005406_648";"0.0";0.1;11.0;"noise";0.572;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_005437_124";0.1;0.2;66.0;"noise";0.356;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_013204_493";1.7;1.8;47.0;"Pippip";0.274;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_013446_041";3.0;4.3;50.0;"Pippip";0.704;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_013931_446";4.4;4.5;50.0;"Pippip";0.234;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_014835_971";1.6;2.1;45.0;"Pippip";0.51;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_014840_971";0.8;1.2;47.0;"Pippip";0.342;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015056_261";0.4;0.6;51.0;"Pippip";0.312;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015238_001";1.3;2.0;14.0;"noise";0.8;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015538_622";3.0;5.0;48.0;"Myomys";0.25;"Myonat, Myodau, Myocap";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015543_622";"0.0";0.3;48.0;"Myonat";0.2;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015641_053";4.6;5.0;50.0;"Myonat";0.228;"Myodau";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015646_053";0.1;1.8;48.0;"Myodau";0.292;"Myomys, Myonat, Myoema, Myocap";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015753_075";0.8;3.1;51.0;"Pippip";0.692;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_015820_257";1.8;4.1;47.0;"Pippip";0.552;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_020350_085";2.8;2.9;46.0;"Pippip";0.276;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_020440_085";1.7;2.7;46.0;"Pippip";0.288;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_020836_424";2.7;2.8;9.0;"noise";0.768;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_020926_205";1.6;1.7;50.0;"Pippip";0.316;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_022641_969";"0.0";0.1;89.0;"noise";0.586;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_024329_447";4.0;4.1;13.0;"noise";0.478;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_024433_216";2.0;3.0;17.0;"noise";0.508;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_024517_208";1.6;1.7;19.0;"noise";0.626;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_025521_497";1.5;1.6;10.0;"noise";0.77;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_030849_728";"0.0";0.1;40.0;"noise";0.51;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_042104_000";0.3;1.1;48.0;"Pippip";0.566;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_042109_000";1.4;2.9;47.0;"Pippip";0.348;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_042142_223";2.4;4.7;50.0;"Pippip";0.518;"noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_042152_223";1.0;1.1;50.0;"Pippip";0.382;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_055104_000";4.0;4.2;8.0;"piaf";0.908;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_060055_519";4.9;5.0;12.0;"noise";0.64;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_060105_519";1.9;2.0;9.0;"piaf";0.362;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_060115_519";2.9;3.2;7.0;"piaf";0.874;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061207_384";0.2;3.7;17.0;"piaf";0.9;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061212_384";2.4;4.2;17.0;"piaf";0.668;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061217_384";0.1;1.7;12.0;"piaf";0.908;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061222_384";3.4;4.7;17.0;"piaf";0.798;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061227_384";0.3;4.8;9.0;"piaf";0.896;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_061658_057";0.9;3.0;7.0;"piaf";0.682;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062104_000";"0.0";2.8;7.0;"piaf";0.692;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062415_762";0.1;0.2;8.0;"piaf";0.754;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062458_743";4.2;4.3;7.0;"piaf";0.428;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062503_743";0.4;0.5;7.0;"piaf";0.642;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062844_182";0.9;3.8;7.0;"piaf";0.67;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062859_182";0.1;2.1;7.0;"piaf";0.732;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_062957_025";2.8;4.8;8.0;"piaf";0.572;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_063002_025";0.5;3.7;7.0;"piaf";0.532;"Tetvir";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_063007_025";3.5;3.7;8.0;"piaf";0.594;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_063012_025";0.6;1.5;7.0;"piaf";0.76;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_063022_025";0.1;4.2;7.0;"piaf";0.392;"Tetvir, noise";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_205540_085";4.9;5.0;15.0;"noise";0.76;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_213835_629";2.6;2.7;73.0;"noise";0.624;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_214051_929";0.2;0.3;7.0;"piaf";0.33;"noise, Tetvir";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_214314_966";"0.0";0.1;10.0;"noise";0.534;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_225005_000";"0.0";1.3;47.0;"Pippip";0.754;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160718_235732_402";3.5;3.7;49.0;"Pippip";0.34;"Minsch";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_000919_793";"0.0";4.9;49.0;"Pippip";0.812;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_000919_793";4.5;4.6;45.0;"Myodau";0.28;"";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_001515_557";"0.0";5.0;59.0;"noise";0.322;"Myodau, Pippyg";"";"";"";""
"Car730568-2016-Pass2-Z2-73EPINE-2_0_20160719_001515_557";"0.0";5.0;42.0;"Myodau";0.32;"Myonat, Myomys, Myocap, Myoema";"";"";"";""
