"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Cir90-2007-Pass2-Tron1-Chiro_0_00244_907";0.1;0.5;130.0;"noise";0.636;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00249_905";"0.0";0.5;121.0;"noise";0.668;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00254_903";"0.0";0.5;107.0;"noise";0.688;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00259_901";0.1;0.5;129.0;"noise";0.652;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00264_899";0.4;0.5;111.0;"noise";0.6;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00269_897";0.4;0.5;111.0;"noise";0.612;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00274_895";0.1;0.5;126.0;"noise";0.596;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00279_893";"0.0";0.5;129.0;"noise";0.724;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00284_891";"0.0";0.5;142.0;"noise";0.684;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00289_890";0.1;0.5;91.0;"noise";0.61;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00294_888";0.1;0.5;99.0;"noise";0.638;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00299_886";0.1;0.5;111.0;"noise";0.684;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00304_884";0.1;0.5;140.0;"noise";0.7;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00309_882";"0.0";0.5;158.0;"noise";0.622;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00314_880";"0.0";0.5;170.0;"noise";0.668;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00319_878";"0.0";0.5;172.0;"noise";0.678;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00324_876";"0.0";0.5;157.0;"noise";0.698;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00329_874";"0.0";0.5;170.0;"noise";0.614;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_0_00334_872";"0.0";0.3;155.0;"noise";0.646;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00000_000";0.2;5.0;15.0;"noise";0.916;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00004_998";"0.0";5.0;15.0;"noise";0.91;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00009_996";"0.0";5.0;14.0;"noise";0.908;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00014_994";"0.0";5.0;11.0;"noise";0.89;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00019_992";"0.0";5.0;11.0;"noise";0.854;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00024_990";"0.0";5.0;11.0;"noise";0.918;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00029_989";"0.0";4.8;15.0;"noise";0.866;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00034_987";"0.0";5.0;15.0;"noise";0.896;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00039_985";"0.0";5.0;15.0;"noise";0.906;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00044_983";"0.0";5.0;14.0;"noise";0.86;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00049_981";"0.0";5.0;14.0;"noise";0.922;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00054_979";"0.0";5.0;15.0;"noise";0.882;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00059_977";"0.0";5.0;15.0;"noise";0.904;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00064_975";"0.0";5.0;15.0;"noise";0.88;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00069_973";"0.0";5.0;15.0;"noise";0.904;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00074_971";"0.0";5.0;14.0;"noise";0.89;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00079_970";0.2;5.0;14.0;"noise";0.876;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00084_968";"0.0";5.0;15.0;"noise";0.854;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00089_966";"0.0";5.0;15.0;"noise";0.898;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00094_964";"0.0";5.0;12.0;"noise";0.94;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00099_962";"0.0";5.0;11.0;"noise";0.898;"";"";"";"";""
"Cir90-2007-Pass2-Tron1-Chiro_1_00104_960";"0.0";5.0;11.0;"noise";0.89;"";"";"";"";""
