"Code";"Groupe";"Nom français";"Nom scientifique";"Risque d'erreur (%)";"Nb Validations";"Effort de validation";"Nb de Contacts en expansion";"Niveau d'Activite en expansion";"Nb de Contacts en direct";"Niveau d'Activite en direct";"TriGroupe"
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"1";"0";"-";"180";"TRES FORTE";"0";NA;3
"Myodau";"Chauve-souris";"Murin de Daubenton";"Myotis daubentonii";"16";"0";"-";"6";"FORTE";"0";NA;3
"Pipnat";"Chauve-souris";"Pipistrelle de Nathusius";"Pipistrellus nathusii";"77";"0";"-";"3";"FORTE";"0";NA;3
"Pleaus";"Chauve-souris";"Oreillard gris";"Plecotus austriacus";"1";"0";"-";"3";"MODEREE";"0";NA;3
"Myonat";"Chauve-souris";"Murin groupe Natterer";"Myotis nattereri";"34";"0";"-";"2";NA;"0";NA;3
"Pippyg";"Chauve-souris";"Pipistrelle soprane";"Pipistrellus pygmaeus";"96";"0";"-";"2";"MODEREE";"0";NA;3
"Hypsav";"Chauve-souris";"Vespere de Savi";"Hypsugo savii";"53";"0";"-";"1";NA;"0";NA;3
"Phanan";"Sauterelle";"Phaneroptere meridional";"Phaneroptera nana";"9";"0";"-";"0";NA;"3";"MODEREE";2
"noise";"Autre";"bruit";"noise";"1";"0";"-";"764";"FORTE";"359";"FAIBLE";1
