"Code";"Groupe";"Nom français";"Nom scientifique";"Risque d'erreur (%)";"TriGroupe";"Canal";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"Pipnat";"Chauve-souris";"Pipistrelle de Nathusius";"Pipistrellus nathusii";"29";3;"Expansion";0;0;0;0;0;0;0;2;0;0
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"1";3;"Expansion";0;0;0;0;0;0;0;1;0;0
"Phogri";"Sauterelle";"Decticelle cendree";"Pholidoptera griseoaptera";"99";2;"Direct";0;0;0;0;0;1;0;0;0;0
"Tetvir";"Sauterelle";"Sauterelle verte";"Tettigonia viridissima";"1";2;"Direct";0;0;1;0;1;0;0;1;3;0
"noise";"Autre";"bruit";"noise";"1";1;"Direct";58;20;73;74;72;72;72;62;69;74
"noise";"Autre";"bruit";"noise";"1";1;"Expansion";58;72;74;78;73;72;73;73;72;74
