"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204237_024";2.2;2.3;12.0;"noise";0.84;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204252_026";4.9;5.0;13.0;"noise";0.45;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204252_026";0.3;0.5;11.0;"Phogri";0.06;"Eupsp, Phofem, Tetvir";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204257_027";0.1;0.2;10.0;"noise";0.93;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204302_028";4.6;5.0;9.0;"noise";0.92;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204307_028";0.3;2.1;11.0;"noise";0.94;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204312_029";0.6;4.2;10.0;"noise";0.98;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204317_030";0.2;0.3;9.0;"noise";0.91;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204332_032";2.8;4.9;17.0;"noise";0.98;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204337_032";3.0;3.4;46.0;"noise";0.89;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204342_033";2.2;4.2;14.0;"noise";0.95;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204352_034";3.2;4.5;11.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204357_035";0.8;5.0;12.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204402_036";0.1;4.2;11.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204407_036";0.2;3.4;10.0;"noise";0.87;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204412_037";0.9;4.7;12.0;"noise";0.88;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204417_038";"0.0";4.7;11.0;"noise";0.91;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204422_038";0.6;1.8;14.0;"noise";0.98;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204427_039";1.8;3.7;10.0;"noise";0.97;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204432_040";2.9;3.0;13.0;"noise";0.96;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204447_042";3.3;3.9;11.0;"noise";0.91;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204452_042";0.5;5.0;12.0;"noise";0.95;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204457_043";"0.0";5.0;11.0;"noise";0.91;"";"";"";"";""
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204507_044";1.1;1.5;11.0;"noise";0.95;"";"";"";"";""
