;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
LARSAB;LARSAB;Charadriiformes;Larides;Mouette de Sabine;Larus sabini;FALSE;non;oui;Larus sabini Sabine;FALSE
LEILUT;LEILUT;Passeriformes;Timaliides;Leïothrix jaune;Leiothrix lutea;FALSE;non;oui;Leiothrix lutea;FALSE
LIMFAL;LIMFAL;Charadriiformes;Scolopacides;Becasseau falcinelle;Limicola falcinellus;FALSE;non;oui;Limicola falcinellus;FALSE
LIMICO;LIMICO;Charadriiformes;Scolopacides;Limicole sp; ;FALSE;non;non;;FALSE
LIMLAP;LIMLAP;Charadriiformes;Scolopacides;Barge rousse;Limosa lapponica;FALSE;non;oui;Limosa lapponica;FALSE
LIMLIM;LIMLIM;Charadriiformes;Scolopacides;Barge a  queue noire;Limosa limosa;FALSE;non;oui;Limosa limosa;FALSE
LIMSCO;LIMSCO;Charadriiformes;Scolopacides;Becassin a  long bec;Limnodromus scolopaceus;FALSE;non;oui;Limnodromus scolopaceus;FALSE
LOCCER;LOCCER;Passeriformes;Sylvides;Locustelle de Pallas;Locustella certhiola;FALSE;non;oui;Locustella certhiola;FALSE
LOCFAS;LOCFAS;Passeriformes;Sylvides;Locustelle fasciee;Locustella fasciolata;FALSE;non;oui;Locustella fasciolata;FALSE
LOCFLU;LOCFLU;Passeriformes;Sylvides;Locustelle fluviatile;Locustella fluviatilis;FALSE;non;oui;Locustella fluviatilis;FALSE
LOCLAN;LOCLAN;Passeriformes;Sylvides;Locustelle lanceolee;Locustella lanceolata;FALSE;non;oui;Locustella lanceolata;FALSE
LOCLUS;LOCLUS;Passeriformes;Sylvides;Locustelle luscinioïde;Locustella luscinioides;FALSE;non;oui;Locustella luscinioides;FALSE
LOCNAE;LOCNAE;Passeriformes;Sylvides;Locustelle tachetee;Locustella naevia;FALSE;non;oui;Locustella naevia;TRUE
LOXCUR;LOXCUR;Passeriformes;Fringillides;Bec-croise des sapins;Loxia curvirostra;FALSE;non;oui;Loxia curvirostra;TRUE
LOXLEU;LOXLEU;Passeriformes;Fringillides;Bec-croise bifascie;Loxia leucoptera;FALSE;non;oui;Loxia leucoptera Gmelin;FALSE
LOXPYT;LOXPYT;Passeriformes;Fringillides;Bec-croise perroquet;Loxia pytyopsittacus;FALSE;non;oui;Loxia pytyopsittacus Borkhausen;FALSE
LOXSCO;LOXSCO;Passeriformes;Fringillides;Bec-croise d'Ecosse;Loxia scotica;FALSE;non;oui;Loxia scotica;FALSE
LULARB;LULARB;Passeriformes;Alaudides;Alouette lulu;Lullula arborea;TRUE;milieux agricoles;oui;Lullula arborea;TRUE
LUSLUS;LUSLUS;Passeriformes;Turdides;Rossignol progne;Luscinia luscinia;FALSE;non;oui;Luscinia luscinia;FALSE
LUSMEG;LUSMEG;Passeriformes;Turdides;Rossignol philomele;Luscinia megarhynchos;TRUE;generaliste;oui;Luscinia megarhynchos Brehm;TRUE
LUSSVE;LUSSVE;Passeriformes;Turdides;Gorgebleue a  miroir;Luscinia svecica;FALSE;non;oui;Luscinia svecica;TRUE
LYMMIN;LYMMIN;Charadriiformes;Scolopacides;Becassine sourde;Lymnocryptes minimus;FALSE;non;oui;Lymnocryptes minimus;FALSE
LYNPAR;LYNPAR;Carnivores;Felidae;Lynx d'Espagne;Lynx pardina;FALSE;non;non;Lynx pardina  Temminck 1824;FALSE
MARANG;MARANG;Anseriformes;Anatides;Sarcelle marbree;Marmaronetta angustirostris;FALSE;non;oui;Marmaronetta angustirostris;FALSE
MELCAL;MELCAL;Passeriformes;Alaudides;Alouette calandre;Melanocorypha calandra;FALSE;non;oui;Melanocorypha calandra;FALSE
MELFUS;MELFUS;Anseriformes;Anatides;Macreuse brune;Melanitta fusca;FALSE;non;oui;Melanitta fusca;FALSE
MELNIG;MELNIG;Anseriformes;Anatides;Macreuse noire;Melanitta nigra;FALSE;non;oui;Melanitta nigra;FALSE
MELPER;MELPER;Anseriformes;Anatides;Macreuse a  front blanc;Melanitta perspicillata;FALSE;non;oui;Melanitta perspicillata;FALSE
MERALB;MERALB;Anseriformes;Anatides;Harle piette;Mergus albellus;FALSE;non;oui;Mergus albellus;FALSE
MERAPI;MERAPI;Coraciiformes;Meropides;Guepier d'Europe;Merops apiaster;FALSE;non;oui;Merops apiaster;TRUE
MERMER;MERMER;Anseriformes;Anatides;Harle bievre;Mergus merganser;FALSE;non;oui;Mergus merganser;FALSE
MERPER;MERPER;Coraciiformes;Meropides;Guepier de Perse;Merops persicus;FALSE;non;oui;Merops persicus;FALSE
MERSER;MERSER;Anseriformes;Anatides;Harle huppe;Mergus serrator;FALSE;non;oui;Mergus serrator;FALSE
MICHIM;MICHIM;Charadriiformes;Scolopacides;Becasseau a  echasses;Micropalama himantopus;FALSE;non;oui;Micropalama himantopus;FALSE
MILCAL;MILCAL;Passeriformes;Emberizides;Bruant proyer;Miliaria calandra;TRUE;milieux agricoles;oui;Miliaria calandra;FALSE
MILMIG;MILMIG;Accipitriformes;Accipitrides;Milan noir;Milvus migrans;FALSE;non;oui;Milvus migrans;TRUE
MILMIL;MILMIL;Accipitriformes;Accipitrides;Milan royal;Milvus milvus;FALSE;non;oui;Milvus milvus;TRUE
MONNIV;MONNIV;Passeriformes;Passerides;Niverolle alpine;Montifringilla nivalis;FALSE;non;oui;Montifringilla nivalis;FALSE
MONSAX;MONSAX;Passeriformes;Turdides;Monticole de roche;Monticola saxatilis;FALSE;non;oui;Monticola saxatilis;TRUE
MONSOL;MONSOL;Passeriformes;Turdides;Monticole bleu;Monticola solitarius;FALSE;non;oui;Monticola solitarius;TRUE
MOTALB;MOTALB;Passeriformes;Motacillides;Bergeronnette grise;Motacilla alba;FALSE;non;oui;Motacilla alba;TRUE
MOTCIN;MOTCIN;Passeriformes;Motacillides;Bergeronnette des ruisseaux;Motacilla cinerea;FALSE;non;oui;Motacilla cinerea Tunstall;TRUE
MOTCIT;MOTCIT;Passeriformes;Motacillides;Bergeronnette citrine;Motacilla citreola;FALSE;non;oui;Motacilla citreola Pallas;FALSE
MOTFLA;MOTFLA;Passeriformes;Motacillides;Bergeronnette printaniere;Motacilla flava;TRUE;milieux agricoles;oui;Motacilla flava;TRUE
MOTIMA;MOTIMA;Passeriformes;Motacillides;Bergeronnette flaveole;Motacilla flavissima;FALSE;non;oui;Motacilla flavissima;FALSE
MUSSTR;MUSSTR;Passeriformes;Muscicapides;Gobemouche gris;Muscicapa striata;FALSE;non;oui;Muscicapa striata;TRUE
NEOPER;NEOPER;Accipitriformes;Accipitrides;Vautour percnoptere;Neophron percnopterus;FALSE;non;oui;Neophron percnopterus;FALSE
NETRUF;NETRUF;Anseriformes;Anatides;Nette rousse;Netta rufina;FALSE;non;oui;Netta rufina;FALSE
NUCCAR;NUCCAR;Passeriformes;Corvides;Cassenoix mouchete;Nucifraga caryocatactes;FALSE;non;oui;Nucifraga caryocatactes;TRUE
NUMARQ;NUMARQ;Charadriiformes;Scolopacides;Courlis cendre;Numenius arquata;FALSE;non;oui;Numenius arquata;TRUE
NUMPHA;NUMPHA;Charadriiformes;Scolopacides;Courlis corlieu;Numenius phaeopus;FALSE;non;oui;Numenius phaeopus;FALSE
NUMTEN;NUMTEN;Charadriiformes;Scolopacides;Courlis a  bec grele;Numenius tenuirostris;FALSE;non;oui;Numenius tenuirostris Vieillot;FALSE
NYCNYC;NYCNYC;Ciconiiformes;Ardeides;Bihoreau gris;Nycticorax nycticorax;FALSE;non;oui;Nycticorax nycticorax;TRUE
NYCSCA;NYCSCA;Strigiformes;Strigides;Harfang des neiges;Nyctea scandiaca;FALSE;non;oui;Nyctea scandiaca;FALSE
OCECAS;OCECAS;Procellariiformes;Hydrobatides;Oceanite de Castro;Oceanodroma castro;FALSE;non;oui;Oceanodroma castro;FALSE
OCELEU;OCELEU;Procellariiformes;Hydrobatides;Oceanite culblanc;Oceanodroma leucorhoa;FALSE;non;oui;Oceanodroma leucorhoa;FALSE
OCEMON;OCEMON;Procellariiformes;Hydrobatides;Oceanite de Swinhoe;Oceanodroma monorhis;FALSE;non;oui;Oceanodroma monorhis;FALSE
OCEOCE;OCEOCE;Procellariiformes;Hydrobatides;Oceanite de Wilson;Oceanites oceanicus;FALSE;non;oui;Oceanites oceanicus;FALSE
OENDES;OENDES;Passeriformes;Turdides;Traquet du desert;Oenanthe deserti;FALSE;non;oui;Oenanthe deserti;FALSE
OENHIS;OENHIS;Passeriformes;Turdides;Traquet oreillard;Oenanthe hispanica;FALSE;non;oui;Oenanthe hispanica;TRUE
OENISA;OENISA;Passeriformes;Turdides;Traquet isabelle;Oenanthe isabellina;FALSE;non;oui;Oenanthe isabellina;FALSE
OENLEU;OENLEU;Passeriformes;Turdides;Traquet rieur;Oenanthe leucura;FALSE;non;oui;Oenanthe leucura;FALSE
OENOEN;OENOEN;Passeriformes;Turdides;Traquet motteux;Oenanthe oenanthe;TRUE;milieux agricoles;oui;Oenanthe oenanthe;TRUE
OENPLE;OENPLE;Passeriformes;Turdides;Traquet pie;Oenanthe pleschanka;FALSE;non;oui;Oenanthe pleschanka;FALSE
ORIORI;ORIORI;Passeriformes;Oriolides;Loriot d'Europe;Oriolus oriolus;TRUE;generaliste;oui;Oriolus oriolus;TRUE
OTITAR;OTITAR;Gruiformes;Otidides;Outarde barbue;Otis tarda;FALSE;non;oui;Otis tarda;FALSE
OTUSCO;OTUSCO;Strigiformes;Strigides;Petit-duc scops;Otus scops;FALSE;non;oui;Otus scops;FALSE
OXYJAM;OXYJAM;Anseriformes;Anatides;Erismature rousse;Oxyura jamaicensis;FALSE;non;oui;Oxyura jamaicensis;FALSE
OXYLEU;OXYLEU;Anseriformes;Anatides;Erismature a  tete blanche;Oxyura leucocephala;FALSE;non;oui;Oxyura leucocephala;FALSE
PAGEBU;PAGEBU;Charadriiformes;Larides;Mouette ivoire;Pagophila eburnea;FALSE;non;oui;Pagophila eburnea;FALSE
PANBIA;PANBIA;Passeriformes;Timaliides;Panure a  moustaches;Panurus biarmicus;FALSE;non;oui;Panurus biarmicus;FALSE
PANHAL;PANHAL;Accipitriformes;Pandionides;Balbuzard pecheur;Pandion haliaetus;FALSE;non;oui;Pandion haliaetus;FALSE
PARAME;PARAME;Passeriformes;Parulides;Paruline a  collier;Parula americana;FALSE;non;oui;Parula americana;FALSE
PARATE;PARATE;Passeriformes;Parides;Mesange noire;Parus ater;TRUE;milieux forestiers;oui;Parus ater;TRUE
PARCAE;PARCAE;Passeriformes;Parides;Mesange bleue;Parus caeruleus;TRUE;generaliste;oui;Parus caeruleus;TRUE
PARCIN;PARCIN;Passeriformes;Parides;Mesange lapone;Parus cinctus;FALSE;non;oui;Parus cinctus;FALSE
PARCRI;PARCRI;Passeriformes;Parides;Mesange huppee;Parus cristatus;TRUE;milieux forestiers;oui;Parus cristatus;TRUE
PARCYA;PARCYA;Passeriformes;Parides;Mesange azuree;Parus cyanus;FALSE;non;oui;Parus cyanus Pallas;FALSE
PARLUG;PARLUG;Passeriformes;Parides;Mesange lugubre;Parus lugubris;FALSE;non;oui;Parus lugubris;FALSE
PARMAJ;PARMAJ;Passeriformes;Parides;Mesange charbonniere;Parus major;TRUE;generaliste;oui;Parus major;TRUE
PARMON;PARMON;Passeriformes;Parides;Mesange boreale;Parus montanus;TRUE;milieux forestiers;oui;Parus montanus Baldenst.;TRUE
PARPAL;PARPAL;Passeriformes;Parides;Mesange nonnette;Parus palustris;TRUE;milieux forestiers;oui;Parus palustris;TRUE
PASDOM;PASDOM;Passeriformes;Passerides;Moineau domestique;Passer domesticus;TRUE;milieux batis;oui;Passer domesticus;TRUE
PASHIS;PASHIS;Passeriformes;Passerides;Moineau espagnol;Passer hispaniolensis;FALSE;non;oui;Passer hispaniolensis;FALSE
PASITA;PASITA;Passeriformes;Passerides;Moineau cisalpin;Passer italiae;FALSE;non;oui;Passer italiae;FALSE
PASMON;PASMON;Passeriformes;Passerides;Moineau friquet;Passer montanus;TRUE;milieux batis;oui;Passer montanus;TRUE
PELCRI;PELCRI;Pelecaniformes;Pelecanides;Pelican frise;Pelecanus crispus;FALSE;non;oui;Pelecanus crispus;FALSE
PELONO;PELONO;Pelecaniformes;Pelecanides;Pelican blanc;Pelecanus onocrotalus;FALSE;non;oui;Pelecanus onocrotalus;FALSE
PERAPI;PERAPI;Accipitriformes;Accipitrides;Bondree apivore;Pernis apivorus;FALSE;non;oui;Pernis apivorus;TRUE
PERINF;PERINF;Passeriformes;Corvides;Mesangeai imitateur;Perisoreus infaustus;FALSE;non;oui;Perisoreus infaustus;FALSE
PERPER;PERPER;Galliformes;Phasianides;Perdrix grise;Perdix perdix;TRUE;milieux agricoles;oui;Perdix perdix;TRUE
PETPET;PETPET;Passeriformes;Passerides;Moineau soulcie;Petronia petronia;FALSE;non;oui;Petronia petronia;TRUE
PHAARI;PHAARI;Pelecaniformes;Phalacrocoracides;Cormoran huppe;Phalacrocorax aristotelis;FALSE;non;oui;Phalacrocorax aristotelis;FALSE
PHACAR;PHACAR;Pelecaniformes;Phalacrocoracides;Grand Cormoran;Phalacrocorax carbo;FALSE;non;oui;Phalacrocorax carbo;TRUE
PHACOL;PHACOL;Galliformes;Phasianides;Faisan de Colchide;Phasianus colchicus;FALSE;non;oui;Phasianus colchicus;TRUE
PHAFUL;PHAFUL;Charadriiformes;Scolopacides;Phalarope a  bec large;Phalaropus fulicarius;FALSE;non;oui;Phalaropus fulicarius;FALSE
PHALOB;PHALOB;Charadriiformes;Scolopacides;Phalarope a  bec etroit;Phalaropus lobatus;FALSE;non;oui;Phalaropus lobatus;FALSE
PHAPYG;PHAPYG;Pelecaniformes;Phalacrocoracides;Cormoran pygmee;Phalacrocorax pygmeus;FALSE;non;oui;Phalacrocorax pygmeus;FALSE
PHATRI;PHATRI;Charadriiformes;Scolopacides;Phalarope de Wilson;Phalaropus tricolor;FALSE;non;oui;Phalaropus tricolor;FALSE
PHIPUG;PHIPUG;Charadriiformes;Scolopacides;Combattant varie;Philomachus pugnax;FALSE;non;oui;Philomachus pugnax;FALSE
PHOCHI;PHOCHI;Phoenicopteriformes;Phoenicopterides;Flamant du Chili;Phoenicopterus chilensis;FALSE;non;oui;Phoenicopterus chilensis;FALSE
PHOMOU;PHOMOU;Passeriformes;Turdides;Rougequeue de Moussier;Phoenicurus moussieri;FALSE;non;oui;Phoenicurus moussieri;FALSE
PHOOCH;PHOOCH;Passeriformes;Turdides;Rougequeue noir;Phoenicurus ochruros;TRUE;milieux batis;oui;Phoenicurus ochruros;TRUE
PHOPHO;PHOPHO;Passeriformes;Turdides;Rougequeue a  front blanc;Phoenicurus phoenicurus;TRUE;milieux batis;oui;Phoenicurus phoenicurus;TRUE
PHORUB;PHORUB;Phoenicopteriformes;Phoenicoptedes;Flamant rose;Phoenicopterus ruber;FALSE;non;oui;Phoenicopterus ruber;FALSE
PHYBON;PHYBON;Passeriformes;Sylvides;Pouillot de Bonelli;Phylloscopus bonelli;TRUE;milieux forestiers;oui;Phylloscopus bonelli;TRUE
PHYBOR;PHYBOR;Passeriformes;Sylvides;Pouillot boreal;Phylloscopus borealis;FALSE;non;oui;Phylloscopus borealis;FALSE
PHYCOL;PHYCOL;Passeriformes;Sylvides;Pouillot veloce;Phylloscopus collybita;TRUE;milieux forestiers;oui;Phylloscopus collybita;TRUE
PHYDES;PHYDES;Passeriformes;Sylvides;Pouillot verdatre;Phylloscopus trochiloides;FALSE;non;oui;Phylloscopus trochiloides;FALSE
PHYFUS;PHYFUS;Passeriformes;Sylvides;Pouillot brun;Phylloscopus fuscatus;FALSE;non;oui;Phylloscopus fuscatus;FALSE
PHYINO;PHYINO;Passeriformes;Sylvides;Pouillot a  grands sourcils;Phylloscopus inornatus;FALSE;non;oui;Phylloscopus inornatus;FALSE
PHYPRO;PHYPRO;Passeriformes;Sylvides;Pouillot de Pallas;Phylloscopus proregulus;FALSE;non;oui;Phylloscopus proregulus;FALSE
PHYSCH;PHYSCH;Passeriformes;Sylvides;Pouillot de Schwarz;Phylloscopus schwarzi;FALSE;non;oui;Phylloscopus schwarzi;FALSE
PHYSIB;PHYSIB;Passeriformes;Sylvides;Pouillot siffleur;Phylloscopus sibilatrix;TRUE;milieux forestiers;oui;Phylloscopus sibilatrix;TRUE
PHYTRO;PHYTRO;Passeriformes;Sylvides;Pouillot fitis;Phylloscopus trochilus;TRUE;milieux forestiers;oui;Phylloscopus trochilus;TRUE
PICCAN;PICCAN;Piciformes;Picides;Pic cendre;Picus canus;TRUE;milieux forestiers;oui;Picus canus Gmelin;TRUE
PICPIC;PICPIC;Passeriformes;Corvides;Pie bavarde;Pica pica;TRUE;milieux batis;oui;Pica pica;TRUE
PICTRI;PICTRI;Piciformes;Picides;Pic tridactyle;Picoides tridactylus;FALSE;non;oui;Picoides tridactylus;FALSE
PICVIR;PICVIR;Piciformes;Picides;Pic vert;Picus viridis;TRUE;generaliste;oui;Picus viridis;TRUE
PINENU;PINENU;Passeriformes;Fringillides;Durbec des sapins;Pinicola enucleator;FALSE;non;oui;Pinicola enucleator;FALSE
PINSON;PINSON;Passeriformes;Fringillides;Pinson sp; ;FALSE;non;non;;FALSE
PLALEU;PLALEU;Ciconiiformes;Threskiornithides;Spatule blanche;Platalea leucorodia;FALSE;non;oui;Platalea leucorodia;FALSE
PLEFAL;PLEFAL;Ciconiiformes;Threskiornithides;Ibis falcinelle;Plegadis falcinellus;FALSE;non;oui;Plegadis falcinellus;FALSE
PLENIV;PLENIV;Passeriformes;Emberizides;Bruant des neiges;Plectrophenax nivalis;FALSE;non;oui;Plectrophenax nivalis;FALSE
PLUAPR;PLUAPR;Charadriiformes;Charadriides;Pluvier dore;Pluvialis apricaria;FALSE;non;oui;Pluvialis apricaria;FALSE
PLUDOM;PLUDOM;Charadriiformes;Charadriides;Pluvier bronze;Pluvialis dominica;FALSE;non;oui;Pluvialis dominica;FALSE
PLUFUL;PLUFUL;Charadriiformes;Charadriides;Pluvier fauve;Pluvialis fulva;FALSE;non;oui;Pluvialis fulva;FALSE
PLUSQU;PLUSQU;Charadriiformes;Charadriides;Pluvier argente;Pluvialis squatarola;FALSE;non;oui;Pluvialis squatarola;FALSE
PODAUR;PODAUR;Podicipediformes;Podicipedides;Grebe esclavon;Podiceps auritus;FALSE;non;oui;Podiceps auritus;FALSE
PODCRI;PODCRI;Podicipediformes;Podicipedides;Grebe huppe;Podiceps cristatus;FALSE;non;oui;Podiceps cristatus;TRUE
PODGRI;PODGRI;Podicipediformes;Podicipedides;Grebe jougris;Podiceps grisegena;FALSE;non;oui;Podiceps grisegena;FALSE
PODNIG;PODNIG;Podicipediformes;Podicipedides;Grebe a  cou noir;Podiceps nigricollis;FALSE;non;oui;Podiceps nigricollis Brehm;FALSE
PODPOD;PODPOD;Podicipediformes;Podicipedides;Grebe a  bec bigarre;Podilymbus podiceps;FALSE;non;oui;Podilymbus podiceps;FALSE
POLSTE;POLSTE;Anseriformes;Anatides;Eider de Steller;Polysticta stelleri;FALSE;non;oui;Polysticta stelleri;FALSE
PORALL;PORALL;Gruiformes;Rallides;Taleve d'Allen;Porphyrula alleni;FALSE;non;oui;Porphyrula alleni;FALSE
PORCAR;PORCAR;Gruiformes;Rallides;Marouette de Caroline;Porzana carolina;FALSE;non;oui;Porzana carolina;FALSE
PORPAR;PORPAR;Gruiformes;Rallides;Marouette poussin;Porzana parva;FALSE;non;oui;Porzana parva;FALSE
PORPOR;PORPOR;Gruiformes;Rallides;Marouette ponctuee;Porzana porzana;FALSE;non;oui;Porzana porzana;FALSE
PORPUS;PORPUS;Gruiformes;Rallides;Marouette de Baillon;Porzana pusilla;FALSE;non;oui;Porzana pusilla;FALSE
PORRIO;PORRIO;Gruiformes;Rallides;Taleve sultane;Porphyrio porphyrio;FALSE;non;oui;Porphyrio porphyrio;FALSE
PRUCOL;PRUCOL;Passeriformes;Prunellides;Accenteur alpin;Prunella collaris;FALSE;non;oui;Prunella collaris;TRUE
PRUMOD;PRUMOD;Passeriformes;Prunellides;Accenteur mouchet;Prunella modularis;TRUE;generaliste;oui;Prunella modularis;TRUE
PSIKRA;PSIKRA;Psittaciformes;Psittacides;Perruche a  collier;Psittacula krameri;FALSE;non;oui;Psittacula krameri;FALSE
PTEALC;PTEALC;Pteroclidides;Pteroclidides;Ganga cata;Pterocles alchata;FALSE;non;oui;Pterocles alchata;FALSE
PTEORI;PTEORI;Pteroclidides;Pteroclidides;Ganga unibande;Pterocles orientalis;FALSE;non;oui;Pterocles orientalis;FALSE
PTYRUP;PTYRUP;Passeriformes;Hirundinides;Hirondelle de rochers;Ptyonoprogne rupestris;FALSE;non;oui;Ptyonoprogne rupestris;TRUE
PUFASS;PUFASS;Procellariiformes;Procellariides;Puffin semblable;Puffinus assimilis;FALSE;non;oui;Puffinus assimilis Gould;FALSE
PUFGRA;PUFGRA;Procellariiformes;Procellariides;Puffin majeur;Puffinus gravis;FALSE;non;oui;Puffinus gravis;FALSE
PUFGRI;PUFGRI;Procellariiformes;Procellariides;Puffin fuligineux;Puffinus griseus;FALSE;non;oui;Puffinus griseus;FALSE
PUFPUF;PUFPUF;Procellariiformes;Procellariides;Puffin des Anglais;Puffinus puffinus;FALSE;non;oui;Puffinus puffinus;FALSE
PUFYEL;PUFYEL;Procellariiformes;Procellariides;Puffin de Mediterranee;Puffinus yelkouan;FALSE;non;oui;Puffinus yelkouan;FALSE
PYRGRA;PYRGRA;Passeriformes;Corvides;Chocard a  bec jaune;Pyrrhocorax graculus;FALSE;non;oui;Pyrrhocorax graculus;TRUE
PYRPYR;PYRPYR;Passeriformes;Fringillides;Bouvreuil pivoine;Pyrrhula pyrrhula;TRUE;milieux forestiers;oui;Pyrrhula pyrrhula;TRUE
PYRRAX;PYRRAX;Passeriformes;Corvides;Crave a  bec rouge;Pyrrhocorax pyrrhocorax;FALSE;non;oui;Pyrrhocorax pyrrhocorax;TRUE
RALAQU;RALAQU;Gruiformes;Rallides;Rale d'eau;Rallus aquaticus;FALSE;non;oui;Rallus aquaticus;TRUE
RAPACE;RAPACE;Accipitriformes;;Rapace sp; ;FALSE;non;non;;FALSE
RECAVO;RECAVO;Charadriiformes;Recurvirostrides;Avocette elegante;Recurvirostra avosetta;FALSE;non;oui;Recurvirostra avosetta;TRUE
REGIGN;REGIGN;Passeriformes;Sylvides;Roitelet a  triple bandeau;Regulus ignicapillus;TRUE;milieux forestiers;oui;Regulus ignicapillus;TRUE
REGREG;REGREG;Passeriformes;Sylvides;Roitelet huppe;Regulus regulus;TRUE;milieux forestiers;oui;Regulus regulus;TRUE
REMPEN;REMPEN;Passeriformes;Remizides;Remiz penduline;Remiz pendulinus;FALSE;non;oui;Remiz pendulinus;FALSE
RHOGIT;RHOGIT;Passeriformes;Fringillides;Roselin githagine;Rhodopechys githaginea;FALSE;non;oui;Rhodopechys githaginea;FALSE
RHOROS;RHOROS;Charadriiformes;Larides;Mouette de Ross;Rhodostethia rosea;FALSE;non;oui;Rhodostethia rosea;FALSE
RIPRIP;RIPRIP;Passeriformes;Hirundinides;Hirondelle de rivage;Riparia riparia;FALSE;non;oui;Riparia riparia;TRUE
RISTRI;RISTRI;Charadriiformes;Larides;Mouette tridactyle;Rissa tridactyla;FALSE;non;oui;Rissa tridactyla;FALSE
ROSBEN;ROSBEN;Scolopacides;Scolopacides;Becassine peinte;Rostratula bengalensis;FALSE;non;oui;Rostratula bengalensis;FALSE
SAXRUB;SAXRUB;Passeriformes;Turdides;Tarier des pres;Saxicola rubetra;TRUE;milieux agricoles;oui;Saxicola rubetra;TRUE
SAXTOR;SAXTOR;Passeriformes;Turdides;Tarier patre;Saxicola torquata;TRUE;milieux agricoles;oui;Saxicola torquata;TRUE
SCORUS;SCORUS;Charadriiformes;Scolopacides;Becasse des bois;Scolopax rusticola;FALSE;non;oui;Scolopax rusticola;FALSE
SEINOV;SEINOV;Passeriformes;Parulides;Paruline des ruisseaux;Seiurus noveboracensis;FALSE;non;oui;Seiurus noveboracensis Gmelin;FALSE
SERCIT;SERCIT;Passeriformes;Fringillides;Venturon montagnard;Serinus citrinella;FALSE;non;oui;Serinus citrinella;TRUE
SERCOR;SERCOR;Passeriformes;Fringillides;Venturon corse;Serinus corsicanus;FALSE;non;oui;Serinus corsicanus;FALSE
SERSER;SERSER;Passeriformes;Fringillides;Serin cini;Serinus serinus;TRUE;milieux batis;oui;Serinus serinus;TRUE
SETRUT;SETRUT;Passeriformes;Parulides;Paruline flamboyante;Setophaga ruticilla;FALSE;non;oui;Setophaga ruticilla;FALSE
SITEUR;SITEUR;Passeriformes;Sittides;Sittelle torchepot;Sitta europaea;TRUE;milieux forestiers;oui;Sitta europaea;TRUE
SITNEU;SITNEU;Passeriformes;Sittides;Sittelle des rochers;Sitta neumayer;FALSE;non;oui;Sitta neumayer;FALSE
SITWHI;SITWHI;Passeriformes;Sittides;Sittelle corse;Sitta whiteheadi;FALSE;non;oui;Sitta whiteheadi Sharpe;FALSE
SOMMOL;SOMMOL;Anseriformes;Anatides;Eider a  duvet;Somateria mollissima;FALSE;non;oui;Somateria mollissima;FALSE
STEALB;STEALB;Charadriiformes;Sternides;Sterne naine;Sterna albifrons;FALSE;non;oui;Sterna albifrons Pallas;FALSE
STEANA;STEANA;Charadriiformes;Sternides;Sterne bridee;Sterna anaethetus;FALSE;non;oui;Sterna anaethetus Scopoli;FALSE
STEBEN;STEBEN;Charadriiformes;Sternides;Sterne voyageuse;Sterna bengalensis;FALSE;non;oui;Sterna bengalensis Lesson;FALSE
STECAS;STECAS;Charadriiformes;Sternides;Sterne caspienne;Sterna caspia;FALSE;non;oui;Sterna caspia Pallas;FALSE
STECUS;STECUS;Charadriiformes;Stercorariides;Labbe parasite;Stercorarius parasiticus;FALSE;non;oui;Stercorarius parasiticus;FALSE
STEDOU;STEDOU;Charadriiformes;Sternides;Sterne de Dougall;Sterna dougallii;FALSE;non;oui;Sterna dougallii Montagu;FALSE
STEELE;STEELE;Charadriiformes;Sternides;Sterne elegante;Sterna elegans;FALSE;non;oui;Sterna elegans Gambel;FALSE
STEFUS;STEFUS;Charadriiformes;Sternides;Sterne fuligineuse;Sterna fuscata;FALSE;non;oui;Sterna fuscata;FALSE
STEHIR;STEHIR;Charadriiformes;Sternides;Sterne pierregarin;Sterna hirundo;FALSE;non;oui;Sterna hirundo;TRUE
STELON;STELON;Charadriiformes;Stercorariides;Labbe a  longue queue;Stercorarius longicaudus;FALSE;non;oui;Stercorarius longicaudus Vieillot;FALSE
STEMAX;STEMAX;Sternides;Sternides;Sterne royale;Sterna maxima;FALSE;non;oui;Sterna maxima;FALSE
STEPAR;STEPAR;Charadriiformes;Sternides;Sterne arctique;Sterna paradisaea;FALSE;non;oui;Sterna paradisaea Pontropp;FALSE
STEPOM;STEPOM;Charadriiformes;Stercorariides;Labbe pomarin;Stercorarius pomarinus;FALSE;non;oui;Stercorarius pomarinus;FALSE
STESAN;STESAN;Charadriiformes;Sternides;Sterne caugek;Sterna sandvicensis;FALSE;non;oui;Sterna sandvicensis Latham;FALSE
STESKU;STESKU;Charadriiformes;Stercorariides;Grand Labbe;Stercorarius skua;FALSE;non;oui;Stercorarius skua;FALSE
STRALU;STRALU;Strigiformes;Strigides;Chouette hulotte;Strix aluco;FALSE;non;oui;Strix aluco;FALSE
STRDEC;STRDEC;Columbiformes;Columbides;Tourterelle turque;Streptopelia decaocto;TRUE;milieux batis;oui;Streptopelia decaocto;TRUE
STRNEB;STRNEB;Strigiformes;Strigides;Chouette lapone;Strix nebulosa;FALSE;non;oui;Strix nebulosa;FALSE
STRORI;STRORI;Columbiformes;Columbides;Tourterelle orientale;Streptopelia orientalis;FALSE;non;oui;Streptopelia orientalis;FALSE
