;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
CHAHIA;CHAHIA;Charadriiformes;Charadriides;Grand Gravelot;Charadrius hiaticula;FALSE;non;oui;Charadrius hiaticula;FALSE
CHALES;CHALES;Charadriiformes;Charadriides;Gravelot de Leschenault;Charadrius leschenaultii;FALSE;non;oui;Charadrius leschenaultii Lesson;FALSE
CHAMOR;CHAMOR;Charadriiformes;Charadriides;Pluvier guignard;Eudromias morinellus;FALSE;non;oui;Eudromias morinellus;FALSE
CHAVOC;CHAVOC;Charadriiformes;Charadriides;Gravelot kildir;Charadrius vociferus;FALSE;non;oui;Charadrius vociferus;FALSE
CHEDUP;CHEDUP;Passeriformes;Alaudides;Sirli de Dupont;Chersophilus duponti;FALSE;non;oui;Chersophilus duponti;FALSE
CHEGRE;CHEGRE;Charadriiformes;Charadriides;Vanneau sociable;Chettusia gregaria;FALSE;non;oui;Chettusia gregaria;FALSE
CHELEU;CHELEU;Charadriiformes;Charadriides;Vanneau a  queue blanche;Chettusia leucura;FALSE;non;oui;Chettusia leucura;FALSE
CHLHYB;CHLHYB;Charadriiformes;Sternides;Guifette moustac;Chlidonias hybridus;FALSE;non;oui;Chlidonias hybridus;FALSE
CHLLEU;CHLLEU;Charadriiformes;Sternides;Guifette leucoptere;Chlidonias leucopterus;FALSE;non;oui;Chlidonias leucopterus;FALSE
CHLNIG;CHLNIG;Charadriiformes;Sternides;Guifette noire;Chlidonias niger;FALSE;non;oui;Chlidonias niger;FALSE
CHLUND;CHLUND;Gruiformes;Otidides;Outarde houbara;Chlamydotis undulata;FALSE;non;oui;Chlamydotis undulata;FALSE
CICCIC;CICCIC;Ciconiiformes;Ciconiides;Cigogne blanche;Ciconia ciconia;FALSE;non;oui;Ciconia ciconia;TRUE
CICNIG;CICNIG;Ciconiiformes;Ciconiides;Cigogne noire;Ciconia nigra;FALSE;non;oui;Ciconia nigra;FALSE
CINCIN;CINCIN;Passeriformes;Cinclides;Cincle plongeur;Cinclus cinclus;FALSE;non;oui;Cinclus cinclus;TRUE
CIRAER;CIRAER;Accipitriformes;Accipitrides;Busard des roseaux;Circus aeruginosus;FALSE;non;oui;Circus aeruginosus;TRUE
CIRCYA;CIRCYA;Accipitriformes;Accipitrides;Busard Saint-Martin;Circus cyaneus;FALSE;non;oui;Circus cyaneus;TRUE
CIRGAL;CIRGAL;Accipitriformes;Accipitrides;Circaete Jean-le-blanc;Circaetus gallicus;FALSE;non;oui;Circaetus gallicus;TRUE
CIRMAC;CIRMAC;Accipitriformes;Accipitrides;Busard pale;Circus macrourus;FALSE;non;oui;Circus macrourus;FALSE
CIRPYG;CIRPYG;Accipitriformes;Accipitrides;Busard cendre;Circus pygargus;FALSE;non;oui;Circus pygargus;TRUE
CISJUN;CISJUN;Passeriformes;Sylvides;Cisticole des joncs;Cisticola juncidis;FALSE;non;oui;Cisticola juncidis;TRUE
CLAGLA;CLAGLA;Cuculiformes;Cuculides;Coucou geai;Clamator glandarius;FALSE;non;oui;Clamator glandarius;TRUE
CLAHYE;CLAHYE;Anseriformes;Anatides;Harelde boreale;Clangula hyemalis;FALSE;non;oui;Clangula hyemalis;FALSE
COCAME;COCAME;Cuculiformes;Cuculides;Coulicou a  bec jaune;Coccyzus americanus;FALSE;non;oui;Coccyzus americanus;FALSE
COCCOC;COCCOC;Passeriformes;Fringillides;Grosbec casse-noyaux;Coccothraustes coccothraustes;TRUE;milieux forestiers;oui;Coccothraustes coccothraustes;TRUE
COLLIV;COLLIV;Columbiformes;Columbides;Pigeon biset;Columba livia;FALSE;non;oui;Columba livia Gmelin;TRUE
COLOEN;COLOEN;Columbiformes;Columbides;Pigeon colombin;Columba oenas;FALSE;non;oui;Columba oenas;TRUE
COLPAL;COLPAL;Columbiformes;Columbides;Pigeon ramier;Columba palumbus;TRUE;generaliste;oui;Columba palumbus;TRUE
COLVIR;COLVIR;Galliformes;Phasianides;Colin de Virginie;Colinus virginianus;FALSE;non;oui;Colinus virginianus;FALSE
CORCOR;CORCOR;Passeriformes;Corvides;Corneille noire;Corvus corone;TRUE;generaliste;oui;Corvus corone;TRUE
CORDAU;CORDAU;Passeriformes;Corvides;Choucas de Daourie;Corvus dauuricus;FALSE;non;oui;Corvus dauuricus Pallas;FALSE
CORFRU;CORFRU;Passeriformes;Corvides;Corbeau freux;Corvus frugilegus;TRUE;milieux agricoles;oui;Corvus frugilegus;TRUE
CORGAR;CORGAR;Coraciiformes;Coraciides;Rollier d'Europe;Coracias garrulus;FALSE;non;oui;Coracias garrulus;TRUE
CORMON;CORMON;Passeriformes;Corvides;Choucas des tours;Corvus monedula;TRUE;milieux batis;oui;Corvus monedula;TRUE
CORRAX;CORRAX;Passeriformes;Corvides;Grand Corbeau;Corvus corax;FALSE;non;oui;Corvus corax;TRUE
COTCOT;COTCOT;Galliformes;Phasianides;Caille des bles;Coturnix coturnix;TRUE;milieux agricoles;oui;Coturnix coturnix;TRUE
CRECRE;CRECRE;Gruiformes;Rallides;Rale des genets;Crex crex;FALSE;non;oui;Crex crex;FALSE
CUCCAN;CUCCAN;Cuculiformes;Cuculides;Coucou gris;Cuculus canorus;TRUE;generaliste;oui;Cuculus canorus;TRUE
CURCUR;CURCUR;Charadriiformes;Glareolides;Courvite isabelle;Cursorius cursor;FALSE;non;oui;Cursorius cursor;FALSE
CYACYA;CYACYA;Passeriformes;Corvides;Pie bleue;Cyanopica cyana;FALSE;non;oui;Cyanopica cyana;FALSE
CYGATR;CYGATR;Anseriformes;Anatidae;Cygne noir;Cygnus atratus;FALSE;non;oui;Cygnus atratus;FALSE
CYGCOL;CYGCOL;Anseriformes;Anatides;Cygne de Bewick;Cygnus columbianus;FALSE;non;oui;Cygnus columbianus Yarrell;FALSE
CYGCYG;CYGCYG;Anseriformes;Anatides;Cygne chanteur;Cygnus cygnus;FALSE;non;oui;Cygnus cygnus;FALSE
CYGOLO;CYGOLO;Anseriformes;Anatides;Cygne tubercule;Cygnus olor;FALSE;non;oui;Cygnus olor;TRUE
DELURB;DELURB;Passeriformes;Hirundinides;Hirondelle de fenetre;Delichon urbica;TRUE;milieux batis;oui;Delichon urbica;TRUE
DENLEU;DENLEU;Piciformes;Picides;Pic a  dos blanc;Dendrocopos leucotos;FALSE;non;oui;Dendrocopos leucotos;FALSE
DENMAJ;DENMAJ;Piciformes;Picides;Pic epeiche;Dendrocopos major;TRUE;milieux forestiers;oui;Dendrocopos major;TRUE
DENMED;DENMED;Piciformes;Picides;Pic mar;Dendrocopos medius;TRUE;milieux forestiers;oui;Dendrocopos medius;TRUE
DENMIN;DENMIN;Piciformes;Picides;Pic epeichette;Dendrocopos minor;FALSE;non;oui;Dendrocopos minor;TRUE
DENSTR;DENSTR;Passeriformes;Parulides;Paruline rayee;Dendroica striata;FALSE;non;oui;Dendroica striata;FALSE
DENSYR;DENSYR;Piciformes;Picides;Pic syriaque;Dendrocopos syriacus;FALSE;non;oui;Dendrocopos syriacus;FALSE
DENVID;DENVID;Anatides;Anatides;Dendrocygne veuf;Dendrocygna viduata;FALSE;non;oui;Dendrocygna viduata;FALSE
DIOEXU;DIOEXU;Procellariiformes;Diomedeides;Albatros hurleur;Diomedea exulans;FALSE;non;oui;Diomedea exulans;FALSE
DIOMEL;DIOMEL;Procellariiformes;Diomedeides;Albatros a  sourcils noirs;Diomedea melanophrys;FALSE;non;oui;Diomedea melanophrys Temm.;FALSE
DRYMAR;DRYMAR;Piciformes;Picides;Pic noir;Dryocopus martius;TRUE;milieux forestiers;oui;Dryocopus martius;TRUE
EGRALB;EGRALB;Ciconiiformes;Ardeides;Grande Aigrette;Egretta alba;FALSE;non;oui;Egretta alba;FALSE
EGRGAR;EGRGAR;Ciconiiformes;Ardeides;Aigrette garzette;Egretta garzetta;FALSE;non;oui;Egretta garzetta;TRUE
EGRGUL;EGRGUL;Ciconiiformes;Ardeides;Aigrette des recifs;Egretta gularis;FALSE;non;oui;Egretta gularis;FALSE
ELACAE;ELACAE;Accipitriformes;Accipitrides;Elanion blanc;Elanus caeruleus;FALSE;non;oui;Elanus caeruleus;FALSE
EMBAUR;EMBAUR;Passeriformes;Emberizides;Bruant aureole;Emberiza aureola;FALSE;non;oui;Emberiza aureola Pallas;FALSE
EMBCAE;EMBCAE;Passeriformes;Emberizides;Bruant cendrillard;Emberiza caesia;FALSE;non;oui;Emberiza caesia Cretzsch.;FALSE
EMBCIA;EMBCIA;Passeriformes;Emberizides;Bruant fou;Emberiza cia;FALSE;non;oui;Emberiza cia;TRUE
EMBCIR;EMBCIR;Passeriformes;Emberizides;Bruant zizi;Emberiza cirlus;TRUE;milieux agricoles;oui;Emberiza cirlus;TRUE
EMBCIT;EMBCIT;Passeriformes;Emberizides;Bruant jaune;Emberiza citrinella;TRUE;milieux agricoles;oui;Emberiza citrinella;TRUE
EMBHOR;EMBHOR;Passeriformes;Emberizides;Bruant ortolan;Emberiza hortulana;TRUE;milieux agricoles;oui;Emberiza hortulana;TRUE
EMBLEU;EMBLEU;Passeriformes;Emberizides;Bruant a  calotte blanche;Emberiza leucocephalos;FALSE;non;oui;Emberiza leucocephalos Gmelin;FALSE
EMBMEL;EMBMEL;Passeriformes;Emberizides;Bruant melanocephale;Emberiza melanocephala;FALSE;non;oui;Emberiza melanocephala Scopoli;FALSE
EMBPUS;EMBPUS;Passeriformes;Emberizides;Bruant nain;Emberiza pusilla;FALSE;non;oui;Emberiza pusilla Pallas;FALSE
EMBSCH;EMBSCH;Passeriformes;Emberizides;Bruant des roseaux;Emberiza schoeniclus;FALSE;non;oui;Emberiza schoeniclus;TRUE
EREALP;EREALP;Passeriformes;Alaudides;Alouette hausse-col;Eremophila alpestris;FALSE;non;oui;Eremophila alpestris;FALSE
ERIRUB;ERIRUB;Passeriformes;Turdides;Rougegorge familier;Erithacus rubecula;TRUE;milieux forestiers;oui;Erithacus rubecula;TRUE
EUOMAL;EUOMAL;Passeriformes;Esterildides;Capucin bec-de-plomb;Euodice malabarica;FALSE;non;oui;Euodice malabarica;FALSE
FALBIA;FALBIA;Falconiformes;Falconides;Faucon lanier;Falco biarmicus;FALSE;non;oui;Falco biarmicus;FALSE
FALCHE;FALCHE;Falconiformes;Falconides;Faucon sacre;Falco cherrug;FALSE;non;oui;Falco cherrug Gray;FALSE
FALCOL;FALCOL;Falconiformes;Falconides;Faucon emerillon;Falco columbarius;FALSE;non;oui;Falco columbarius;FALSE
FALELE;FALELE;Falconiformes;Falconides;Faucon d'Eleonore;Falco eleonorae;FALSE;non;oui;Falco eleonorae Gene;FALSE
FALNAU;FALNAU;Falconiformes;Falconides;Faucon crecerellette;Falco naumanni;FALSE;non;oui;Falco naumanni Fleischer;FALSE
FALPER;FALPER;Falconiformes;Falconides;Faucon pelerin;Falco peregrinus;FALSE;non;oui;Falco peregrinus Tunstall;TRUE
FALRUS;FALRUS;Falconiformes;Falconides;Faucon gerfaut;Falco rusticolus;FALSE;non;oui;Falco rusticolus;FALSE
FALSUB;FALSUB;Falconiformes;Falconides;Faucon hobereau;Falco subbuteo;FALSE;non;oui;Falco subbuteo;TRUE
FALTIN;FALTIN;Falconiformes;Falconides;Faucon crecerelle;Falco tinnunculus;TRUE;milieux agricoles;oui;Falco tinnunculus;TRUE
FALVES;FALVES;Falconiformes;Falconides;Faucon kobez;Falco vespertinus;FALSE;non;oui;Falco vespertinus;FALSE
FICALB;FICALB;Passeriformes;Muscicapides;Gobemouche a  collier;Ficedula albicollis;FALSE;non;oui;Ficedula albicollis;FALSE
FICHYP;FICHYP;Passeriformes;Muscicapides;Gobemouche noir;Ficedula hypoleuca;FALSE;non;oui;Ficedula hypoleuca;TRUE
FICPAR;FICPAR;Passeriformes;Muscicapides;Gobemouche nain;Ficedula parva;FALSE;non;oui;Ficedula parva;FALSE
FRAARC;FRAARC;Charadriiformes;Alcides;Macareux moine;Fratercula arctica;FALSE;non;oui;Fratercula arctica;FALSE
FREMAG;FREMAG;Pelecaniformes;Fregatides;Fregate superbe;Fregata magnificens;FALSE;non;oui;Fregata magnificens Mathews;FALSE
FRICOE;FRICOE;Passeriformes;Fringillides;Pinson des arbres;Fringilla coelebs;TRUE;generaliste;oui;Fringilla coelebs;TRUE
FRIMON;FRIMON;Passeriformes;Fringillides;Pinson du Nord;Fringilla montifringilla;FALSE;non;oui;Fringilla montifringilla;FALSE
FULATR;FULATR;Gruiformes;Rallides;Foulque macroule;Fulica atra;FALSE;non;oui;Fulica atra;TRUE
FULCRI;FULCRI;Gruiformes;Rallides;Foulque caronculee;Fulica cristata;FALSE;non;oui;Fulica cristata Gmelin;FALSE
FULGLA;FULGLA;Procellariiformes;Procellariides;Fulmar boreal;Fulmarus glacialis;FALSE;non;oui;Fulmarus glacialis;FALSE
GALCHL;GALCHL;Gruiformes;Rallides;Gallinule poule-d'eau;Gallinula chloropus;FALSE;non;oui;Gallinula chloropus;TRUE
GALCRI;GALCRI;Passeriformes;Alaudides;Cochevis huppe;Galerida cristata;TRUE;milieux agricoles;oui;Galerida cristata;TRUE
GALGAL;GALGAL;Charadriiformes;Scolopacides;Becassine des marais;Gallinago gallinago;FALSE;non;oui;Gallinago gallinago;TRUE
GALMED;GALMED;Charadriiformes;Scolopacides;Becassine double;Gallinago media;FALSE;non;oui;Gallinago media;FALSE
GALTHE;GALTHE;Passeriformes;Alaudides;Cochevis de Thekla;Galerida theklae;FALSE;non;oui;Galerida theklae Brehm;FALSE
GARGLA;GARGLA;Passeriformes;Corvides;Geai des chenes;Garrulus glandarius;TRUE;generaliste;oui;Garrulus glandarius;TRUE
GAVADA;GAVADA;Gaviiformes;Gaviides;Plongeon a  bec blanc;Gavia adamsii;FALSE;non;oui;Gavia adamsii;FALSE
GAVARC;GAVARC;Gaviiformes;Gaviides;Plongeon arctique;Gavia arctica;FALSE;non;oui;Gavia arctica;FALSE
GAVIMM;GAVIMM;Gaviiformes;Gaviides;Plongeon imbrin;Gavia immer;FALSE;non;oui;Gavia immer;FALSE
GAVSTE;GAVSTE;Gaviiformes;Gaviides;Plongeon catmarin;Gavia stellata;FALSE;non;oui;Gavia stellata;FALSE
GELNIL;GELNIL;Charadriiformes;Sternides;Sterne hansel;Gelochelidon nilotica;FALSE;non;oui;Gelochelidon nilotica;FALSE
GLANOR;GLANOR;Charadriiformes;Glareolides;Glareole a  ailes noires;Glareola Nordmanni;FALSE;non;oui;Glareola Nordmanni Nordmann;FALSE
GLAPAS;GLAPAS;Strigiformes;Strigides;Chevechette d'Europe;Glaucidium passerinum;FALSE;non;oui;Glaucidium passerinum;FALSE
GLAPRA;GLAPRA;Charadriiformes;Glareolides;Glareole a  collier;Glareola pratincola;FALSE;non;oui;Glareola pratincola;FALSE
GRIVES;GRIVES;Passeriformes;Turdides;Grive sp;Turdus sp.;FALSE;milieux forestiers;non;Turdus sp.;FALSE
GRUGRU;GRUGRU;Gruiformes;Gruides;Grue cendree;Grus grus;FALSE;non;oui;Grus grus;FALSE
GYPBAR;GYPBAR;Accipitriformes;Accipitrides;Gypaete barbu;Gypaetus barbatus;FALSE;non;oui;Gypaetus barbatus;FALSE
GYPFUL;GYPFUL;Accipitriformes;Accipitrides;Vautour fauve;Gyps fulvus;FALSE;non;oui;Gyps fulvus;FALSE
HAEOST;HAEOST;Charadriiformes;Haematropodides;Hua®trier pie;Haematopus ostralegus;FALSE;non;oui;Haematopus ostralegus;FALSE
HALALB;HALALB;Accipitriformes;Accipitrides;Pygargue a  queue blanche;Haliaeetus albicilla;FALSE;non;oui;Haliaeetus albicilla;FALSE
HIEFAS;HIEFAS;Accipitriformes;Accipitrides;Aigle de Bonelli;Hieraaetus fasciatus;FALSE;non;oui;Hieraaetus fasciatus;FALSE
HIEPEN;HIEPEN;Accipitriformes;Accipitrides;Aigle botte;Hieraaetus pennatus;FALSE;non;oui;Hieraaetus pennatus;FALSE
HIMHIM;HIMHIM;Charadriiformes;Recurvirostrides;Echasse blanche;Himantopus himantopus;FALSE;non;oui;Himantopus himantopus;TRUE
HIPCAL;HIPCAL;Passeriformes;Sylvides;Hypolaïs bottee;Hippolais caligata;FALSE;non;oui;Hippolais caligata;FALSE
HIPICT;HIPICT;Passeriformes;Sylvides;Hypolaïs icterine;Hippolais icterina;FALSE;non;oui;Hippolais icterina;TRUE
