"Code";"Groupe";"Nom français";"Nom scientifique";"Risque d'erreur (%)";"TriGroupe";"Canal";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"1";3;"Direct";0;26;0;0;0;0;2;0;0;0
"Pippip";"Chauve-souris";"Pipistrelle commune";"Pipistrellus pipistrellus";"1";3;"Expansion";0;17;0;0;0;0;0;0;0;0
"Phogri";"Sauterelle";"Decticelle cendree";"Pholidoptera griseoaptera";"88";2;"Direct";0;0;0;0;0;1;0;0;0;0
"Tetvir";"Sauterelle";"Sauterelle verte";"Tettigonia viridissima";"1";2;"Direct";2;1;0;0;0;1;0;1;0;0
"noise";"Autre";"bruit";"noise";"1";1;"Direct";73;72;73;73;73;73;73;73;73;73
"noise";"Autre";"bruit";"noise";"1";1;"Expansion";37;38;16;41;17;46;15;64;14;17
"piaf";"Autre";"Oiseau sp.";"Aves sp.";"1";1;"Direct";0;0;1;0;1;0;0;0;0;0
