"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir750016-2011-Pass1-Tron2-Chiro_1_00195_000"	"noise"	0	5	10	0.732	"Pippip, Tetvir"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0	0	0.006	0.004	0	0.002	0	0	0	0	0	0.006	0.002	0.066	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.46	0	0.002	0.008	0	0.008	0.02	0.006	0.092	0.058	0.006	0.01	0.032	0.014	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.026	0.004	0.012	0.008	0	0	0.096	0	0	0	0	0	0	0	0	"noise"	0.46	0.836279454114179	""	""	2	1795	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00200_000"	"Pippip"	2.9	4.9	46	0.796	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0.014	0.002	0.004	0	0	0.006	0	0	0	0	0.006	0	0.028	0.058	0.85	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0.004	0	"Pippip"	0.85	0.970719000373347	""	""	2	1800	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00200_000"	"noise"	2.8	4.8	12	0.53	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0.004	0	0.002	0	0.004	0.018	0	0.002	0	0	0	0	0	0.004	0.002	0.08	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0.396	0	0.002	0.012	0	0.022	0.014	0.006	0.094	0.056	0.004	0.008	0.042	0.014	0	0	0	0.008	0	0	0.002	0	0	0	0	0	0	0	0	0	0.01	0.07	0.004	0.01	0.008	0	0	0.072	0	0.004	0	0	0	0	0	0	"noise"	0.396	0.721279493755544	""	""	2	1800	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00205_000"	"Pippip"	0	5	45	0.738	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0.012	0.002	0.004	0	0	0	0	0	0	0	0.004	0	0.03	0.084	0.824	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.004	0	0	0.004	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0.002	0	"Pippip"	0.824	0.963765215306885	""	""	2	1805	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00205_000"	"noise"	0.2	0.3	34	0.608	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.018	0.004	0	0.004	0	0	0.016	0	0	0	0	0	0	0	0.006	0.002	0.092	0	0	0	0.008	0	0.006	0.002	0	0	0.002	0	0.006	0.002	0	0.008	0	0.406	0	0.006	0.002	0	0.018	0.02	0.004	0.086	0.03	0.012	0.014	0.054	0.014	0	0	0	0.006	0	0.002	0.008	0.004	0	0	0	0	0	0	0.002	0.002	0.016	0.032	0.008	0.004	0.014	0	0	0.042	0	0	0	0.006	0	0	0.004	0	"noise"	0.406	0.742129225444873	""	""	2	1805	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00210_000"	"Pippip"	0.4	5	45	0.744	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0.014	0.002	0.004	0	0	0	0	0	0	0	0.006	0	0.034	0.06	0.84	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0.002	0	"Pippip"	0.84	0.968212515294048	""	""	2	1810	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00210_000"	"noise"	0.7	5	21	0.604	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.008	0	0.002	0	0	0.01	0	0.002	0	0	0	0	0	0.01	0	0.094	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.002	0	0.398	0	0.002	0.008	0	0.038	0.026	0.006	0.11	0.042	0.006	0.012	0.044	0.014	0.002	0	0	0.006	0	0	0.008	0.002	0	0	0	0	0	0	0	0	0.01	0.046	0.008	0.002	0.008	0	0	0.056	0	0.004	0	0	0	0	0	0	"noise"	0.398	0.725531247164019	""	""	2	1810	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00215_000"	"Pippip"	0	5	45	0.744	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0.012	0.002	0.004	0	0	0	0	0	0	0	0.004	0	0.028	0.086	0.824	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.004	0	0	0.004	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0.002	0	"Pippip"	0.824	0.963765215306885	""	""	2	1815	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00215_000"	"noise"	0	4.6	22	0.632	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.004	0.006	0	0.004	0	0	0.01	0	0	0	0	0	0	0	0.01	0	0.09	0	0	0	0	0	0	0.002	0	0	0	0	0.002	0.002	0	0.002	0	0.402	0	0.004	0.006	0	0.032	0.022	0.006	0.112	0.04	0.006	0.012	0.044	0.014	0.002	0	0	0.006	0	0	0.008	0.004	0	0	0	0	0	0	0	0	0.012	0.05	0.008	0.002	0.008	0	0	0.058	0	0.002	0	0	0	0	0	0	"noise"	0.402	0.73391272469081	""	""	2	1815	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00220_000"	"noise"	0	5	36	0.678	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.006	0	0	0.002	0	0.022	0.004	0	0.004	0	0	0.008	0	0	0	0	0	0	0	0.008	0	0.112	0	0	0	0.004	0	0.004	0.004	0	0	0	0	0.002	0.004	0	0.014	0	0.404	0	0.004	0.004	0	0.008	0.028	0.004	0.082	0.03	0.01	0.014	0.038	0.018	0	0	0	0.004	0	0	0	0.002	0	0	0	0	0	0	0.002	0.018	0.012	0.018	0.01	0.006	0.018	0	0	0.044	0	0	0	0.012	0	0	0.004	0	"noise"	0.404	0.73804175493824	""	""	2	1820	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00225_000"	"noise"	0.1	5	23	0.878	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0	0.006	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.01	0	0.076	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.476	0	0.002	0.002	0	0.008	0.028	0.006	0.086	0.038	0.008	0.018	0.04	0.016	0.002	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.032	0.01	0.006	0.014	0	0	0.074	0	0	0	0	0	0	0.002	0	"noise"	0.476	0.858246048370025	""	""	2	1825	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00230_000"	"Pippip"	0.4	4.9	45	0.754	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0.002	0	0.004	0	0	0	0	0	0	0	0.014	0.002	0.006	0	0	0.002	0	0	0	0	0.006	0	0.034	0.06	0.834	0.002	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0.004	0.004	0	0.002	0.002	0	0	0	0	0	0	0	0	0	0.002	0	"Pippip"	0.834	0.966610282481016	""	""	2	1830	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00230_000"	"noise"	2.5	5	22	0.652	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.008	0.004	0	0.004	0	0.002	0.012	0	0	0	0	0	0	0	0.01	0	0.08	0	0	0	0	0	0	0.002	0	0	0	0	0.002	0.002	0	0.002	0	0.41	0	0.004	0.006	0	0.034	0.022	0.006	0.104	0.04	0.006	0.01	0.054	0.014	0	0	0	0.006	0	0	0.008	0.004	0	0	0	0	0	0	0	0	0.01	0.052	0.008	0.004	0.01	0	0	0.052	0	0	0	0	0	0	0	0	"noise"	0.41	0.750178373634554	""	""	2	1830	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00235_000"	"noise"	0	5	22	0.75	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.002	0	0.002	0.002	0	0	0	0.002	0.002	0	0	0	0	0	0	0	0.012	0	0.072	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0.476	0	0.004	0.002	0	0.01	0.024	0.006	0.098	0.042	0.008	0.01	0.048	0.016	0.002	0	0	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0.016	0.024	0.008	0.006	0.012	0	0	0.068	0	0	0	0	0	0	0.002	0	"noise"	0.476	0.858246048370025	""	""	2	1835	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00240_000"	"Tetvir"	0.2	4.1	10	0.73	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0.004	0.002	0.014	0	0	0.012	0	0.002	0	0	0	0	0	0	0	0.002	0	0.02	0.006	0.012	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.002	0.052	0.002	0	0.004	0	0	0.006	0.014	0.03	0.05	0.002	0.002	0.028	0.004	0	0	0	0.008	0	0	0.002	0	0	0	0	0	0	0	0	0	0.004	0.012	0.006	0.008	0.004	0.004	0	0.638	0.002	0	0	0.016	0	0	0	0	"Tetvir"	0.638	0.95898780467793	""	""	2	1840	"Tetvir"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00240_000"	"Pippip"	0	5	45	0.764	"noise"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0.004	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0.016	0.002	0.006	0	0	0	0	0	0	0	0.004	0	0.034	0.086	0.798	0.004	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.012	0	0	0.004	0.004	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0.002	0	"Pippip"	0.798	0.955236167298385	""	""	2	1840	"Pippip"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00245_000"	"noise"	0.1	5	16	0.888	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.006	0.004	0	0	0	0.002	0.002	0	0.002	0	0	0	0	0	0.006	0	0.084	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0.454	0	0.002	0.004	0	0.004	0.024	0.006	0.086	0.048	0.008	0.022	0.034	0.014	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.034	0.006	0.006	0.012	0	0	0.092	0	0	0	0	0	0	0	0	"noise"	0.454	0.827363125045706	""	""	2	1845	"noise"	0
"Cir750016-2011-Pass1-Tron2-Chiro_1_00250_000"	"noise"	0	5	21	0.742	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0	0.002	0.004	0	0	0	0.002	0.002	0	0.002	0	0	0	0	0	0.012	0	0.076	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.476	0	0.002	0.002	0	0.014	0.024	0.006	0.098	0.042	0.008	0.01	0.046	0.016	0.002	0	0	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0.016	0.022	0.008	0.008	0.012	0	0	0.064	0	0	0	0	0	0	0.002	0	"noise"	0.476	0.858246048370025	""	""	2	1850	"noise"	0
