"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir750008-2008-Pass2-Tron4-Chiro_1_00324_876"	"noise"	0	3.8	12	0.786	""	""	""	""	""	"58c40dc431015c000ded877c"	0.022	0	0.018	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0.004	0.004	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.072	0	0.03	0	0	0	0	0	0	0	0	0.01	0	0	0.022	0.002	0.406	0	0.006	0.004	0	0.008	0.002	0.008	0.12	0.022	0.008	0	0	0.034	0.002	0	0.002	0	0.01	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0.032	0.016	0.02	0.014	0.012	0	0.07	0	0.002	0	0.004	0	0	0.002	"noise"	0.406	""	""	4	4400	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00329_874"	"noise"	0.1	5	14	0.74	""	""	""	""	""	"58c40dc431015c000ded877c"	0.024	0	0.02	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.002	0.004	0	0.01	0	0	0	0.002	0	0	0	0	0	0	0	0	0.078	0	0.028	0	0	0	0	0	0	0.002	0	0.014	0	0	0.022	0	0.396	0	0.006	0.002	0	0.004	0.002	0.008	0.138	0.01	0.008	0	0	0.03	0.002	0	0.004	0	0.012	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.036	0.006	0.02	0.012	0.014	0	0.066	0	0.002	0	0.004	0	0	0.002	"noise"	0.396	""	""	4	4403	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00334_872"	"noise"	0	4.7	12	0.612	"Tetvir"	""	""	""	""	"58c40dc431015c000ded877c"	0.03	0	0.022	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.012	0.004	0	0.014	0	0	0	0.002	0	0	0	0	0	0	0	0	0.072	0	0.026	0	0	0	0	0	0	0	0	0.016	0	0	0.022	0	0.366	0	0.006	0.008	0	0.01	0.004	0.008	0.136	0.016	0.008	0	0	0.03	0.002	0	0.002	0	0.012	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.03	0.008	0.02	0.012	0.012	0	0.068	0	0.006	0	0.004	0	0	0.002	"noise"	0.366	""	""	4	4406	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00339_870"	"noise"	0.3	5	14	0.8	""	""	""	""	""	"58c40dc431015c000ded877c"	0.024	0	0.016	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0.002	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.076	0	0.028	0	0	0	0	0	0	0	0	0.014	0	0	0.022	0	0.416	0	0.006	0.002	0	0.004	0.002	0.008	0.132	0.012	0.008	0	0.004	0.024	0.002	0	0.002	0	0.014	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0.034	0.016	0.02	0.01	0.014	0	0.062	0	0.002	0	0.004	0	0	0.002	"noise"	0.416	""	""	4	4409	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00344_869"	"noise"	0	4.6	12	0.73	""	""	""	""	""	"58c40dc431015c000ded877c"	0.026	0	0.018	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.004	0.002	0	0.008	0	0	0	0.002	0	0	0	0	0	0	0	0	0.076	0	0.032	0	0	0	0	0	0	0	0	0.012	0	0	0.022	0	0.398	0	0.006	0.002	0	0.004	0.002	0.008	0.128	0.02	0.008	0	0	0.032	0.002	0	0.002	0	0.012	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.034	0.008	0.02	0.014	0.012	0	0.068	0	0.002	0	0.004	0	0	0.002	"noise"	0.398	""	""	4	4413	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00349_867"	"noise"	0	5	13	0.628	""	""	""	""	""	"58c40dc431015c000ded877c"	0.028	0	0.022	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.012	0.004	0	0.014	0	0	0	0.002	0	0	0	0	0	0	0	0	0.074	0.002	0.026	0	0	0	0	0	0	0.002	0	0.016	0	0	0.022	0	0.362	0	0.006	0.006	0	0.006	0.004	0.01	0.134	0.012	0.008	0	0	0.032	0.002	0	0.002	0	0.01	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.034	0.006	0.02	0.012	0.012	0	0.074	0	0.008	0	0.004	0	0	0.002	"noise"	0.362	""	""	4	4416	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00354_865"	"noise"	0	5	14	0.716	"Tetvir"	""	""	""	""	"58c40dc431015c000ded877c"	0.024	0	0.022	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.002	0.004	0	0.008	0	0	0	0.002	0	0	0	0	0	0	0	0	0.072	0.002	0.03	0	0	0	0	0	0	0.002	0	0.016	0	0	0.022	0	0.396	0	0.006	0	0	0.004	0.002	0.01	0.142	0.01	0.008	0	0	0.028	0.002	0	0.002	0	0.012	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.034	0.006	0.02	0.012	0.012	0	0.07	0	0.002	0	0.004	0	0	0.002	"noise"	0.396	""	""	4	4419	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00359_863"	"noise"	0	4.9	13	0.776	""	""	""	""	""	"58c40dc431015c000ded877c"	0.022	0	0.02	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0.004	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0.076	0	0.026	0	0	0	0	0	0	0.002	0	0.012	0	0	0.022	0	0.394	0	0.006	0.002	0	0.004	0.002	0.008	0.136	0.016	0.008	0	0.002	0.032	0.002	0	0.004	0	0.01	0	0	0	0	0	0	0	0.002	0	0.002	0	0	0.036	0.014	0.02	0.012	0.016	0	0.066	0	0.002	0	0.004	0	0	0.002	"noise"	0.394	""	""	4	4422	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00364_861"	"noise"	0	5	13	0.724	""	""	""	""	""	"58c40dc431015c000ded877c"	0.024	0	0.022	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.004	0.002	0	0.008	0	0	0	0.002	0	0	0	0	0	0	0	0	0.074	0.002	0.03	0	0	0	0	0	0	0.002	0	0.014	0	0	0.022	0	0.39	0	0.006	0	0	0.004	0.002	0.01	0.138	0.016	0.008	0	0	0.028	0.002	0	0.002	0	0.01	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.034	0.006	0.02	0.014	0.014	0	0.072	0	0.002	0	0.004	0	0	0.002	"noise"	0.39	""	""	4	4425	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00369_859"	"noise"	0	5	11	0.744	""	""	""	""	""	"58c40dc431015c000ded877c"	0.024	0	0.02	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0	0	0.004	0.002	0	0.01	0	0	0	0.002	0	0	0	0	0	0	0	0	0.082	0.002	0.028	0	0	0	0	0	0	0.002	0	0.012	0	0	0.022	0	0.376	0	0.006	0	0	0.004	0.002	0.01	0.134	0.018	0.008	0	0	0.03	0.002	0	0.002	0	0.012	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.036	0.006	0.02	0.02	0.014	0	0.07	0	0.002	0	0.004	0	0	0.002	"noise"	0.376	""	""	4	4428	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00374_857"	"noise"	0	5	12	0.616	"piaf"	""	""	""	""	"58c40dc431015c000ded877c"	0.028	0	0.022	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.014	0.004	0	0.014	0	0	0	0.002	0	0	0	0	0	0	0	0	0.074	0.002	0.026	0	0	0	0	0	0	0.002	0	0.016	0	0	0.022	0	0.354	0	0.006	0.006	0	0.008	0.004	0.01	0.136	0.014	0.008	0	0	0.032	0.002	0	0.002	0	0.01	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.032	0.006	0.02	0.014	0.012	0	0.074	0	0.008	0	0.004	0	0	0.002	"noise"	0.354	""	""	4	4431	"noise"	0
"Cir750008-2008-Pass2-Tron4-Chiro_1_00379_855"	"noise"	0	4.8	9	0.616	"Tetvir, Phogri"	""	""	""	""	"58c40dc431015c000ded877c"	0.028	0	0.016	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0	0.008	0.004	0	0.016	0	0	0	0.014	0	0	0	0	0	0	0	0	0.072	0	0.026	0	0	0	0	0	0	0.002	0	0.016	0	0	0.022	0	0.346	0	0.006	0.008	0	0.01	0.004	0.008	0.138	0.018	0.008	0	0	0.024	0.002	0	0.002	0	0.022	0.002	0	0	0	0	0	0	0.002	0	0.002	0	0	0.03	0.006	0.02	0.016	0.012	0	0.072	0	0.008	0	0.004	0	0	0.002	"noise"	0.346	""	""	4	4434	"noise"	0
