"Code"	"Groupe"	"Nom francais"	"Nom scientifique"	"Risque d'erreur (%)"	"TriGroupe"	"21"	"22"	"23"	"00"	"01"	"02"	"03"	"04"	"05"	"06"
"Hypsav"	"Chauve-souris"	"Vespere de Savi"	"Hypsugo savii"	"47"	3	0	0	0	0	0	0	0	0	1	0
"Myomys"	"Chauve-souris"	"Murin a moustaches"	"Myotis mystacinus"	"95"	3	0	0	1	0	0	0	0	0	0	0
"Pipkuh"	"Chauve-souris"	"Pipistrelle de Kuhl"	"Pipistrellus kuhlii"	"59"	3	0	0	0	0	0	0	0	0	1	0
"Pipnat"	"Chauve-souris"	"Pipistrelle de Nathusius"	"Pipistrellus nathusii"	"46"	3	0	0	0	0	0	0	0	0	1	0
"Pippip"	"Chauve-souris"	"Pipistrelle commune"	"Pipistrellus pipistrellus"	"11"	3	0	105	279	6	2	1	0	0	12	0
"Tetvir"	"Sauterelle"	"Sauterelle verte"	"Tettigonia viridissima"	"33"	2	0	0	0	0	0	0	0	7	3	4
"noise"	"Autre"	"bruit"	"noise"	"4"	1	4	89	95	8	4	12	70	353	594	460
"piaf"	"Autre"	"Oiseau sp."	"Aves sp."	"2"	1	0	1	0	0	0	0	1	0	3	1
