"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_015013_357"	"Pippip"	0	0.7	44	0.474	"Pipnat"	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.004	0	0	0	0	0.006	0	0	0	0	0	0	0	0.034	0	0	0	0.022	0.002	0.006	0	0	0.028	0	0.008	0.008	0	0.054	0	0.022	0	0.008	0.004	0	0.004	0	0.002	0.014	0.002	0.026	0.034	0.042	0.56	0.016	0	0.002	0	0	0	0.002	0.002	0	0	0	0	0	0	0.004	0.002	0	0.002	0.006	0.004	0.002	0.004	0	0.026	0	0	0	0.002	0	0	0.016	"Pippip"	0.56	""	""	"06/07/2015"	1436226613.357	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_015532_481"	"Pippip"	0	1	58	0.662	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0	0	0	0	0.006	0	0	0	0	0	0	0	0.026	0	0	0	0.03	0.002	0.006	0	0	0.01	0	0.012	0.002	0	0.048	0	0.022	0	0.008	0.008	0	0.002	0.002	0.004	0.008	0.002	0.03	0.038	0.05	0.594	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.006	0.004	0.002	0.004	0	0.028	0	0	0	0.002	0	0	0.004	"Pippip"	0.594	""	""	"06/07/2015"	1436226932.481	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_020502_631"	"Pippip"	0.1	2.4	48	0.818	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0.002	0.004	0	0	0.006	0	0.012	0.002	0	0.038	0	0.012	0	0.006	0.004	0	0.002	0.002	0.004	0.008	0.002	0.032	0.03	0.062	0.672	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.018	0	0	0	0.002	0	0	0.004	"Pippip"	0.672	""	""	"06/07/2015"	1436227502.631	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_020505_916"	"Pippip"	0	3.1	46	0.838	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.034	0	0	0	0.008	0.002	0.004	0	0	0.004	0	0.01	0.002	0	0.038	0	0.012	0	0.008	0.008	0	0.002	0.002	0.004	0.01	0.002	0.036	0.026	0.054	0.666	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.014	0	0	0	0.002	0	0	0.006	"Pippip"	0.666	""	""	"06/07/2015"	1436227505.916	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_021150_569"	"Pippip"	0	1.2	48	0.822	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.028	0	0	0	0.01	0.002	0.004	0	0	0.006	0	0.012	0.002	0	0.038	0	0.012	0	0.006	0.004	0	0.002	0.002	0.004	0.008	0.002	0.034	0.03	0.056	0.672	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.018	0	0	0	0.002	0	0	0.004	"Pippip"	0.672	""	""	"06/07/2015"	1436227910.569	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022009_624"	"Pippip"	0	2.4	48	0.832	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0.002	0.004	0	0	0.006	0	0.012	0.002	0	0.038	0	0.012	0	0.006	0.004	0	0.002	0.002	0.004	0.008	0.002	0.034	0.028	0.056	0.676	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.018	0	0	0	0.002	0	0	0.004	"Pippip"	0.676	""	""	"06/07/2015"	1436228409.624	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022415_203"	"Pippip"	2.3	2.8	45	0.456	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.004	0	0	0	0	0.006	0	0	0	0	0	0	0	0.034	0	0	0	0.022	0.004	0.006	0	0	0.032	0	0.008	0.01	0	0.058	0.002	0.022	0	0.008	0.004	0	0.004	0.002	0.002	0.014	0.002	0.026	0.032	0.038	0.55	0.016	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0.002	0	0.002	0.006	0.004	0.002	0.004	0.002	0.026	0	0	0	0.002	0	0	0.016	"Pippip"	0.55	""	""	"06/07/2015"	1436228655.203	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022419_263"	"Pippip"	0	5	53	0.902	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.032	0	0	0	0.006	0.002	0.004	0	0	0.004	0	0.014	0.002	0	0.024	0.004	0.012	0	0.006	0.008	0	0.002	0.002	0.004	0.008	0.002	0.028	0.036	0.062	0.66	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.008	0.004	0	0.002	0	0.014	0	0	0	0.002	0	0	0.004	"Pippip"	0.66	""	""	"06/07/2015"	1436228659.263	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022424_263"	"Pippip"	0	4.9	47	0.87	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.032	0	0	0	0.006	0.002	0.004	0	0	0.004	0	0.014	0.002	0	0.036	0	0.012	0	0.004	0.004	0	0.002	0.002	0.004	0.008	0.002	0.032	0.034	0.056	0.668	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.006	0.004	0	0.002	0	0.016	0	0	0	0.002	0	0	0.004	"Pippip"	0.668	""	""	"06/07/2015"	1436228664.263	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022429_263"	"Pippip"	0	5	49	0.87	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.03	0	0	0	0.006	0.002	0.004	0	0	0.004	0	0.018	0.002	0	0.028	0	0.012	0	0.004	0.004	0	0.002	0.002	0.004	0.008	0.002	0.032	0.036	0.066	0.658	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.006	0.004	0	0.002	0	0.016	0	0	0	0.002	0	0	0.004	"Pippip"	0.658	""	""	"06/07/2015"	1436228669.263	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022434_263"	"Pippip"	1	5	45	0.858	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0.032	0	0	0	0.006	0.002	0.004	0	0	0.006	0	0.01	0.002	0	0.04	0	0.012	0	0.006	0.004	0	0.002	0.002	0.004	0.008	0.002	0.034	0.028	0.056	0.672	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.016	0	0	0	0.002	0	0	0.004	"Pippip"	0.672	""	""	"06/07/2015"	1436228674.263	"Pippip"	0
"Car590466-2015-Pass1-Z3-XXX-012061_0_20150707_022439_263"	"Pippip"	0	4.5	47	0.922	""	""	""	""	""	"57b5b8e377f6c1000c9a65c1"	0.002	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.004	0	0	0	0	0	0	0	0.032	0	0	0	0.006	0.002	0.004	0	0	0.004	0	0.008	0.002	0	0.034	0.002	0.012	0	0.006	0.004	0	0.002	0.002	0.004	0.008	0.002	0.03	0.028	0.066	0.648	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.002	0.004	0.004	0	0.002	0	0.026	0	0	0	0.002	0	0	0.004	"Pippip"	0.648	""	""	"06/07/2015"	1436228679.263	"Pippip"	0
