"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir461-2014-Pass2-Tron2-Chiro_0_00015_000"	"noise"	0.2	0.5	204	0.762	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.002	0.008	0	0.012	0.002	0	0.014	0	0.002	0	0	0.01	0.002	0	0	0	0	0	0.002	0.026	0	0.002	0	0.006	0.006	0.004	0	0	0.012	0	0.008	0.01	0	0.012	0.01	0.384	0	0.004	0.008	0	0	0.002	0.008	0.024	0.014	0.016	0.002	0	0.028	0.008	0	0.016	0	0.004	0.004	0.026	0	0	0.002	0	0	0	0	0.054	0.002	0.024	0.014	0.076	0	0.004	0.036	0.002	0.05	0	0.006	0	0.002	0	0	0.02	"noise"	0.384	""	""	2	1615	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00020_000"	"noise"	0	0.4	204	0.808	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.002	0.008	0	0.012	0.002	0	0.01	0	0.002	0	0	0.01	0.002	0	0	0	0	0	0.002	0.024	0	0.002	0	0.006	0.004	0.004	0	0	0.012	0	0.008	0.01	0	0.012	0.01	0.396	0	0.004	0.008	0	0	0.002	0.006	0.022	0.014	0.016	0.002	0	0.026	0.008	0	0.016	0	0.004	0.004	0.024	0	0	0.002	0	0	0	0	0.054	0.004	0.022	0.014	0.074	0	0.004	0.034	0.002	0.058	0	0.006	0	0.002	0	0	0.02	"noise"	0.396	""	""	2	1620	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00035_000"	"noise"	0.2	0.5	204	0.814	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.002	0.008	0	0.012	0.002	0	0.008	0	0.002	0	0	0.01	0.002	0	0	0	0	0	0.002	0.024	0	0.002	0	0.006	0.004	0.004	0	0	0.012	0	0.008	0.01	0	0.012	0.01	0.398	0	0.002	0.008	0	0	0.002	0.008	0.022	0.014	0.016	0.002	0	0.026	0.008	0	0.016	0	0.004	0.004	0.026	0	0	0.002	0	0	0	0	0.054	0.004	0.022	0.014	0.072	0	0.004	0.034	0.002	0.058	0	0.006	0	0.002	0	0	0.02	"noise"	0.398	""	""	2	1635	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00040_000"	"noise"	0	0.4	204	0.574	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0.006	0	0.002	0.01	0	0.012	0.004	0	0.014	0	0.002	0	0	0.008	0.002	0	0	0	0	0	0.002	0.024	0	0	0	0.006	0.006	0.008	0	0	0.014	0	0.008	0.01	0	0.012	0.01	0.376	0	0.002	0.012	0	0.004	0.004	0.006	0.03	0.012	0.018	0.002	0	0.026	0.006	0	0.016	0	0.008	0.004	0.018	0	0	0.002	0.002	0	0	0	0.062	0.002	0.02	0.016	0.076	0	0.002	0.026	0	0.04	0	0.008	0	0.002	0	0	0.026	"noise"	0.376	""	""	2	1640	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00045_000"	"noise"	0.3	0.5	204	0.504	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0.004	0	0.002	0.008	0.002	0.014	0.004	0	0.008	0	0.002	0	0	0.008	0.002	0	0	0	0	0.002	0.002	0.018	0	0	0	0.006	0.008	0.008	0	0	0.01	0	0.008	0.01	0	0.016	0.008	0.376	0	0.002	0.012	0	0.004	0.004	0.008	0.038	0.012	0.018	0.002	0	0.022	0.008	0	0.016	0	0.01	0.004	0.022	0	0	0.002	0.002	0	0	0	0.066	0.004	0.018	0.016	0.072	0	0.002	0.026	0	0.038	0	0.006	0	0.002	0	0	0.026	"noise"	0.376	""	""	2	1645	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00050_000"	"noise"	0	0.1	204	0.528	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0.004	0	0.002	0.008	0	0.014	0.004	0	0.008	0	0.002	0	0	0.008	0.002	0	0	0	0	0.002	0.002	0.022	0	0	0	0.006	0.008	0.008	0	0	0.01	0	0.008	0.01	0	0.014	0.01	0.378	0	0.002	0.012	0	0.004	0.004	0.008	0.036	0.012	0.02	0.002	0	0.022	0.008	0	0.016	0	0.008	0.004	0.022	0	0	0.002	0.002	0	0	0	0.066	0.004	0.02	0.016	0.068	0	0.002	0.026	0	0.038	0	0.006	0	0.002	0	0	0.026	"noise"	0.378	""	""	2	1650	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00065_000"	"noise"	0.4	0.5	36	0.552	""	""	""	""	""	"582ae419783121000fce8b4e"	0.008	0	0.002	0	0.006	0.01	0.002	0.002	0.002	0	0	0.002	0.01	0	0.002	0.014	0.004	0.004	0.014	0.004	0.004	0	0.002	0.004	0	0.01	0.002	0	0.002	0	0	0.01	0	0.034	0	0.002	0	0.004	0.008	0.002	0	0	0.014	0	0.008	0.004	0	0.008	0.006	0.298	0	0.002	0.004	0	0.014	0.012	0.008	0.034	0.02	0.022	0.01	0.01	0.012	0.008	0.002	0.026	0	0.012	0.008	0.014	0	0	0.014	0.006	0	0	0	0.004	0	0.002	0.032	0.052	0	0.004	0.062	0.002	0.046	0	0.018	0.002	0.002	0	0	0.028	"noise"	0.298	""	""	2	1665	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00070_000"	"noise"	0	0.3	204	0.518	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0.004	0	0.002	0.008	0.002	0.014	0.004	0	0.01	0	0.002	0	0	0.008	0.002	0	0	0	0	0.002	0.002	0.02	0	0	0	0.006	0.008	0.008	0	0	0.01	0	0.008	0.01	0	0.016	0.008	0.376	0	0.002	0.012	0	0.004	0.004	0.008	0.032	0.012	0.018	0.002	0	0.028	0.006	0	0.016	0	0.01	0.004	0.02	0	0	0.002	0.002	0	0	0	0.066	0.004	0.018	0.016	0.072	0	0.002	0.026	0	0.038	0	0.006	0	0.002	0	0	0.026	"noise"	0.376	""	""	2	1670	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00075_000"	"noise"	0	0.3	204	0.48	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0.004	0	0.002	0.006	0.002	0.014	0.004	0	0.01	0.002	0.002	0	0	0.008	0.002	0	0	0	0	0.002	0.002	0.018	0	0	0	0.006	0.008	0.008	0	0	0.01	0	0.008	0.01	0	0.016	0.008	0.374	0	0.002	0.012	0	0.004	0.004	0.008	0.036	0.012	0.016	0.002	0	0.028	0.006	0	0.016	0	0.012	0.004	0.02	0	0	0.002	0.002	0	0	0	0.068	0.004	0.018	0.016	0.072	0	0.002	0.022	0	0.038	0	0.008	0	0.002	0	0	0.026	"noise"	0.374	""	""	2	1675	"noise"	0
"Cir461-2014-Pass2-Tron2-Chiro_0_00085_000"	"noise"	0.2	0.5	204	0.728	""	""	""	""	""	"582ae419783121000fce8b4e"	0.004	0	0	0	0.004	0.002	0	0	0	0	0	0	0.002	0	0.002	0.008	0	0.01	0.002	0	0.016	0	0.002	0	0	0.01	0.002	0	0	0	0	0	0.002	0.024	0	0.002	0	0.006	0.006	0.006	0	0	0.012	0	0.008	0.01	0	0.012	0.01	0.368	0	0.004	0.01	0	0	0.002	0.008	0.028	0.014	0.018	0.002	0	0.028	0.008	0	0.016	0	0.004	0.004	0.026	0	0	0.002	0	0	0	0	0.056	0.002	0.024	0.014	0.08	0	0.004	0.038	0.002	0.048	0	0.006	0	0.002	0	0	0.02	"noise"	0.368	""	""	2	1685	"noise"	0
