"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"	"IdScore"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir437-2014-Pass1-Tron4-Chiro_0_00315_000"	"noise"	0	0.3	229	0.712	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.038	0	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.026	0	0	0.002	0.008	0	0.018	0	0	0.006	0	0.002	0.004	0	0.006	0.004	0.282	0	0	0.058	0	0.018	0.032	0.004	0.084	0.002	0.01	0.01	0.004	0.086	0.01	0	0.042	0	0	0.002	0.022	0	0	0.002	0	0	0.002	0	0.02	0	0.018	0.002	0.05	0.002	0.006	0.036	0.002	0.06	0	0.004	0	0	0	0	0.004	"noise"	0.282	0.43526404148712	""	""	4	3515	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00320_000"	"noise"	0.1	0.5	104	0.434	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.04	0.002	0	0.004	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0	0.03	0	0	0.008	0	0.002	0.006	0	0.006	0.002	0.274	0	0	0.048	0	0.024	0.028	0.006	0.096	0	0.01	0.014	0.008	0.056	0.012	0	0.03	0	0.006	0.004	0.01	0	0	0.002	0	0	0.002	0	0.04	0	0.018	0.002	0.048	0.002	0.008	0.028	0.002	0.064	0	0.004	0	0.002	0	0	0.006	"noise"	0.274	0.414497494134056	""	""	4	3520	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00325_000"	"Tetvir"	0	0.3	26	0.576	"noise"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.006	0	0.02	0	0	0.002	0.004	0	0.002	0.002	0	0	0.002	0	0.004	0.008	0	0.036	0.02	0.002	0.002	0	0.01	0.002	0.002	0.002	0	0.004	0.002	0	0	0.002	0	0.022	0	0.002	0	0.004	0	0.002	0	0	0	0	0.002	0	0	0	0	0.088	0	0.004	0.01	0	0.004	0.014	0.02	0.088	0.004	0.01	0.002	0	0.01	0.016	0.008	0.012	0	0.008	0.008	0.002	0.002	0.002	0.002	0	0	0.004	0	0	0	0	0.01	0.034	0.002	0.002	0.03	0.018	0.396	0	0.012	0.004	0.006	0	0	0.002	"Tetvir"	0.396	0.622487719954097	""	""	4	3525	"Tetvir"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00325_000"	"noise"	0	0.3	204	0.502	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.004	0	0	0.004	0	0.04	0.004	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0.02	0	0	0	0.008	0	0.024	0	0	0.008	0	0.002	0.006	0	0.004	0.004	0.272	0	0	0.056	0	0.026	0.034	0.008	0.102	0	0.008	0.014	0.006	0.07	0.014	0	0.03	0	0.006	0.002	0.022	0	0	0.002	0	0	0.002	0	0.03	0	0.012	0.002	0.038	0.002	0.006	0.026	0.002	0.064	0	0.004	0	0	0	0	0.006	"noise"	0.272	0.409350008581365	""	""	4	3525	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00330_000"	"noise"	0	0.1	117	0.42	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0	0.04	0.002	0	0.002	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0	0.028	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.282	0	0	0.048	0	0.024	0.026	0.006	0.098	0	0.01	0.014	0.008	0.058	0.012	0	0.03	0	0.006	0.002	0.018	0	0	0.002	0	0	0.002	0	0.034	0	0.018	0.002	0.036	0.002	0.006	0.028	0.002	0.068	0	0.004	0	0.002	0	0	0.006	"noise"	0.282	0.43526404148712	""	""	4	3530	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00345_000"	"noise"	0.3	0.5	202	0.438	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.038	0.002	0	0.002	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.02	0	0	0	0.008	0	0.028	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.272	0	0	0.054	0	0.024	0.028	0.006	0.102	0	0.01	0.014	0.006	0.064	0.012	0	0.03	0	0.006	0.002	0.026	0	0	0.002	0	0	0.002	0	0.034	0	0.016	0.002	0.042	0.002	0.006	0.028	0.002	0.062	0	0.004	0	0.002	0	0	0.006	"noise"	0.272	0.409350008581365	""	""	4	3545	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00350_000"	"noise"	0.4	0.5	105	0.27	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0.004	0	0.04	0.002	0	0	0.002	0	0	0	0.002	0	0.002	0	0	0	0	0	0.03	0.002	0	0	0.008	0	0.026	0	0	0.006	0	0.004	0.012	0.002	0.01	0.002	0.246	0	0.002	0.044	0	0.02	0.024	0.014	0.102	0.004	0.01	0.012	0.008	0.056	0.016	0	0.028	0	0.004	0.002	0.012	0.002	0	0.002	0	0	0	0	0.042	0	0.024	0.002	0.036	0.002	0.008	0.022	0.002	0.084	0	0.004	0	0.002	0	0	0.006	"noise"	0.246	0.34459200384715	""	""	4	3550	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00355_000"	"noise"	0.1	0.5	31	0.682	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.008	0.002	0	0	0	0.002	0.006	0	0.002	0	0	0.002	0.008	0	0	0.008	0.002	0.036	0.012	0.002	0.002	0	0	0.002	0.002	0.002	0	0	0	0	0	0.004	0.002	0.044	0	0.002	0.002	0.002	0	0.002	0	0	0.004	0	0	0	0	0	0	0.204	0	0.004	0.014	0	0.05	0.046	0.004	0.062	0.008	0.006	0.004	0.002	0.038	0	0.006	0.066	0	0.02	0.008	0.002	0.002	0.002	0.002	0	0	0.002	0	0	0	0	0.012	0.058	0.002	0	0.082	0.002	0.108	0	0.018	0	0.002	0	0	0.004	"noise"	0.204	0.251780870438455	""	""	4	3555	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00360_000"	"noise"	0.2	0.5	204	0.81	"Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.054	0	0	0.006	0	0	0	0	0.002	0	0	0	0	0	0	0	0.04	0	0	0.002	0.006	0	0.018	0	0	0.006	0	0.002	0.004	0	0.006	0.004	0.288	0	0	0.05	0	0.012	0.038	0.004	0.07	0	0.012	0.01	0.004	0.08	0.01	0	0.038	0	0	0.002	0.018	0	0	0.002	0	0	0.002	0	0.02	0	0.02	0.004	0.046	0.002	0.006	0.034	0.002	0.062	0	0.004	0	0	0	0	0.004	"noise"	0.288	0.450993614352325	""	""	4	3560	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00365_000"	"noise"	0	0.1	34	0.748	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.002	0	0	0	0	0	0.002	0	0.002	0	0	0	0.008	0	0	0.01	0.002	0.044	0.004	0.004	0.002	0	0	0.002	0	0.004	0	0	0	0	0	0.004	0.002	0.062	0	0	0.002	0.002	0	0.004	0	0	0.002	0	0	0	0	0.002	0	0.222	0	0.002	0.01	0	0.04	0.046	0.008	0.058	0.01	0.012	0.008	0.006	0.036	0.002	0.004	0.066	0	0.012	0.004	0.002	0	0.002	0.002	0.002	0	0.002	0	0	0	0.002	0.014	0.052	0.002	0.002	0.082	0.002	0.096	0	0.014	0	0.002	0	0	0.01	"noise"	0.222	0.289484078010096	""	""	4	3565	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00370_000"	"noise"	0.4	0.5	120	0.29	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0	0.04	0.002	0	0	0.002	0	0	0	0.002	0	0.002	0	0	0	0	0	0.03	0.002	0	0	0.008	0	0.026	0	0	0.006	0	0.002	0.006	0	0.01	0.004	0.268	0	0.002	0.046	0	0.022	0.026	0.01	0.098	0.002	0.008	0.014	0.008	0.058	0.016	0	0.03	0	0.006	0.002	0.016	0.002	0	0.002	0	0	0.002	0	0.034	0	0.016	0.002	0.032	0.002	0.006	0.026	0.002	0.082	0	0.004	0	0.002	0	0	0.006	"noise"	0.268	0.399115450395434	""	""	4	3570	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00375_000"	"noise"	0.1	0.5	28	0.68	"Phogri, Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.01	0.002	0.002	0	0	0.004	0.004	0	0.002	0	0	0.002	0.01	0	0	0.004	0.002	0.028	0.01	0.002	0.004	0	0	0.002	0.002	0.002	0	0	0	0	0	0.004	0	0.042	0	0.002	0.002	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0	0.194	0	0.006	0.014	0	0.056	0.038	0.002	0.064	0.01	0.01	0.004	0.002	0.032	0.006	0.006	0.06	0	0.02	0.008	0.002	0.002	0.002	0.002	0	0	0.002	0	0	0	0	0.014	0.06	0.004	0	0.078	0.002	0.122	0	0.024	0	0.002	0	0	0.004	"noise"	0.194	0.232297333769407	""	""	4	3575	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_0_00380_000"	"noise"	0	0.2	204	0.698	"Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.038	0	0	0.004	0	0	0	0	0.002	0	0	0	0	0	0	0	0.026	0	0	0.002	0.008	0	0.018	0	0	0.006	0	0.002	0.004	0	0.006	0.004	0.276	0	0	0.058	0	0.018	0.032	0.004	0.086	0	0.01	0.01	0.004	0.08	0.01	0	0.04	0	0.002	0.002	0.03	0	0	0.002	0	0	0.002	0	0.02	0	0.018	0.002	0.052	0.002	0.006	0.036	0.002	0.062	0	0.004	0	0	0	0	0.004	"noise"	0.276	0.41966371782826	""	""	4	3580	"noise"	0
"Cir437-2014-Pass1-Tron4-Chiro_1_00000_000"	"Tetvir"	1.3	5	12	0.676	"noise"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.002	0	0.016	0	0	0.002	0	0	0	0.002	0	0	0	0.002	0	0.006	0	0.042	0.024	0.002	0	0	0.016	0.004	0.006	0.002	0	0.002	0.002	0	0	0	0	0.014	0	0.004	0	0	0.002	0	0	0	0	0	0.002	0	0	0	0	0.062	0	0	0.004	0	0.006	0.018	0.008	0.076	0.01	0.006	0	0	0.01	0.012	0.006	0.004	0	0.014	0.004	0.002	0.002	0	0	0	0	0.002	0	0	0	0	0.002	0.048	0.002	0.002	0.02	0.018	0.488	0	0.016	0	0.006	0	0	0	"Tetvir"	0.488	0.818805659234407	""	""	4	3200	"Tetvir"	0
