"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car340098-2019-Pass1-Z31-013676_20190329_205011_513"	0	0.1	16	"noise"	0.85	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.85	""	""	"29/03/2019"	1553885411.513	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205240_413"	0	0.1	25	"noise"	0.66	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.66	""	""	"29/03/2019"	1553885560.413	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205407_399"	0.4	4.2	8	"noise"	0.89	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.89	""	""	"29/03/2019"	1553885647.399	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205527_715"	2	2.1	10	"noise"	0.81	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.81	""	""	"29/03/2019"	1553885727.715	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205557_655"	0	0.1	10	"noise"	0.92	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.92	""	""	"29/03/2019"	1553885757.655	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205905_159"	0.1	0.2	44	"noise"	0.1	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.1	""	""	"29/03/2019"	1553885945.159	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205905_159"	0	0.1	43	"Yerray"	0.03	"Tetvir, Pippip"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.03	""	""	"29/03/2019"	1553885945.159	"mec"	2
"Car340098-2019-Pass1-Z31-013676_20190329_205907_240"	0	0.1	30	"noise"	0.61	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.61	""	""	"29/03/2019"	1553885947.24	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205909_388"	0	0.3	30	"noise"	0.96	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.96	""	""	"29/03/2019"	1553885949.388	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_205915_094"	0	0.7	29	"noise"	0.76	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.76	""	""	"29/03/2019"	1553885955.094	"noise"	0
