"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204117_014"	0	4.2	12	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785677.014	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204122_014"	1.5	4.5	12	"noise"	0.19	"Phogri"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.19	""	""	"15/06/2012"	1339785682.014	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204127_015"	0.4	5	14	"noise"	0.78	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.78	""	""	"15/06/2012"	1339785687.015	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204132_016"	0.8	5	42	"noise"	0.6	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.6	""	""	"15/06/2012"	1339785692.016	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204132_016"	0	5	12	"Tetvir"	0.45	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.45	""	""	"15/06/2012"	1339785692.016	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204137_016"	0.1	4.5	14	"noise"	0.89	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.89	""	""	"15/06/2012"	1339785697.016	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204142_017"	1.2	5	12	"noise"	0.83	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.83	""	""	"15/06/2012"	1339785702.017	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204142_017"	1.4	1.6	39	"Leppun"	0.06	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.06	""	""	"15/06/2012"	1339785702.017	"Leppun"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204147_018"	0.3	4.7	11	"Tetvir"	0.47	"noise"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.47	""	""	"15/06/2012"	1339785707.018	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204147_018"	0.2	2.6	36	"Phogri"	0.04	"Tetvir, Pipkuh"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.04	""	""	"15/06/2012"	1339785707.018	"Phogri"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018"	0.2	4.9	30	"noise"	0.51	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.51	""	""	"15/06/2012"	1339785712.018	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018"	1.6	4.9	12	"Tetvir"	0.51	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.51	""	""	"15/06/2012"	1339785712.018	"Tetvir"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204152_018"	0	3.9	16	"Phanan"	0.03	"Phogri"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.03	""	""	"15/06/2012"	1339785712.018	"Phanan"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204157_019"	0.2	3.9	13	"noise"	0.86	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.86	""	""	"15/06/2012"	1339785717.019	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204202_020"	0.5	4.7	12	"noise"	0.92	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.92	""	""	"15/06/2012"	1339785722.02	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204207_020"	0	4.2	14	"noise"	0.9	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.9	""	""	"15/06/2012"	1339785727.02	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204212_021"	0.6	3.2	45	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785732.021	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204222_022"	1.4	2	15	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785742.022	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204232_024"	1	1.1	14	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785752.024	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204237_024"	2.2	2.3	12	"noise"	0.84	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.84	""	""	"15/06/2012"	1339785757.024	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204252_026"	4.9	5	13	"noise"	0.45	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.45	""	""	"15/06/2012"	1339785772.026	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204252_026"	0.3	0.5	11	"Phogri"	0.06	"Eupsp, Phofem, Tetvir"	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.06	""	""	"15/06/2012"	1339785772.026	"Phogri"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204257_027"	0.1	0.2	10	"noise"	0.93	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.93	""	""	"15/06/2012"	1339785777.027	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204302_028"	4.6	5	9	"noise"	0.92	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.92	""	""	"15/06/2012"	1339785782.028	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204307_028"	0.3	2.1	11	"noise"	0.94	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.94	""	""	"15/06/2012"	1339785787.028	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204312_029"	0.6	4.2	10	"noise"	0.98	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.98	""	""	"15/06/2012"	1339785792.029	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204317_030"	0.2	0.3	9	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785797.03	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204332_032"	2.8	4.9	17	"noise"	0.98	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.98	""	""	"15/06/2012"	1339785812.032	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204337_032"	3	3.4	46	"noise"	0.89	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.89	""	""	"15/06/2012"	1339785817.032	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204342_033"	2.2	4.2	14	"noise"	0.95	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.95	""	""	"15/06/2012"	1339785822.033	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204352_034"	3.2	4.5	11	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785832.034	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204357_035"	0.8	5	12	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785837.035	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204402_036"	0.1	4.2	11	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785842.036	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204407_036"	0.2	3.4	10	"noise"	0.87	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.87	""	""	"15/06/2012"	1339785847.036	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204412_037"	0.9	4.7	12	"noise"	0.88	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.88	""	""	"15/06/2012"	1339785852.037	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204417_038"	0	4.7	11	"noise"	0.91	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.91	""	""	"15/06/2012"	1339785857.038	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204422_038"	0.6	1.8	14	"noise"	0.98	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.98	""	""	"15/06/2012"	1339785862.038	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204427_039"	1.8	3.7	10	"noise"	0.97	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.97	""	""	"15/06/2012"	1339785867.039	"noise"	0
"Car900000-2012-Pass2-Z1-RD6_0_20120615_204432_040"	2.9	3	13	"noise"	0.96	""	""	""	""	""	"5cab960fefb48f000fcf1bea"	0.96	""	""	"15/06/2012"	1339785872.04	"noise"	0
