"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Cir464-2016-Pass1-Tron1-Chiro_0_00065_000"	0.1	0.5	24	"Tetvir"	0.02	"Pippip, Phogri, Phanan, Leppun, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, Pipkuh, piaf, Phofem, Phafal, Nycnoc, Nyclei, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	""	""	""	""	"5cab967eefb48f0011b2f201"	0.02	""	""	1	865	"Tetvir"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00070_000"	0	0.5	96	"noise"	0.86	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.86	""	""	1	870	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00070_000"	0.1	0.2	39	"Pipkuh"	0.07	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.07	""	""	1	870	"Pipkuh"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00075_000"	0	0.5	112	"noise"	0.96	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.96	""	""	1	875	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00080_000"	0	0.5	128	"noise"	0.77	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.77	""	""	1	880	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00085_000"	0	0.5	111	"noise"	0.83	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.83	""	""	1	885	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00090_000"	0	0.5	203	"noise"	0.59	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.59	""	""	1	890	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00095_000"	0	0.5	188	"noise"	0.92	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.92	""	""	1	895	"noise"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00095_000"	0.3	0.4	45	"Pippip"	0.18	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.18	""	""	1	895	"Pippip"	0
"Cir464-2016-Pass1-Tron1-Chiro_0_00100_000"	0	0.5	107	"noise"	0.84	""	""	""	""	""	"5cab967eefb48f0011b2f201"	0.84	""	""	1	900	"noise"	0
