;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
BUCCLA;BUCCLA;Ansériformes;Anatidés;Garrot à  oeil d'or;Bucephala clangula;FALSE;non;oui;Bucephala clangula;FALSE
BUCISL;BUCISL;Ansériformes;Anatidés;Garrot d'Islande;Bucephala islandica;FALSE;non;oui;Bucephala islandica;FALSE
BULBUL;BULBUL;Procellariiformes;Procéllariidés;Pétrel de Bulwer;Bulweria bulwerii;FALSE;non;oui;Bulweria bulwerii;FALSE
BUROED;BUROED;Charadriiformes;Burhinidés;Oedicnème criard;Burhinus oedicnemus;FALSE;non;oui;Burhinus oedicnemus;TRUE
BUTBUT;BUTBUT;Accipitriformes;Accipitridés;Buse variable;Buteo buteo;TRUE;milieux agricoles;oui;Buteo buteo;TRUE
BUTLAG;BUTLAG;Accipitriformes;Accipitridés;Buse pattue;Buteo lagopus;FALSE;non;oui;Buteo lagopus;FALSE
BUTRUF;BUTRUF;Accipitriformes;Accipitridés;Buse féroce;Buteo rufinus;FALSE;non;oui;Buteo rufinus;FALSE
BUTVIR;BUTVIR;Ciconiiformes;Ardéidés;Héron vert;Butorides virescens;FALSE;non;oui;Butorides virescens;FALSE
CALACU;CALACU;Charadriiformes;Scolopacidés;Bécasseau à  queue pointue;Calidris acuminata;FALSE;non;oui;Calidris acuminata;FALSE
CALALB;CALALB;Charadriiformes;Scolopacidés;Bécasseau sanderling;Calidris alba;FALSE;non;oui;Calidris alba;FALSE
CALALP;CALALP;Charadriiformes;Scolopacidés;Bécasseau variable;Calidris alpina;FALSE;non;oui;Calidris alpina;FALSE
CALBAI;CALBAI;Charadriiformes;Scolopacidés;Bécasseau de Baird;Calidris bairdii;FALSE;non;oui;Calidris bairdii;FALSE
CALBRA;CALBRA;Passériformes;Alaudidés;Alouette calandrelle;Calandrella brachydactyla;FALSE;non;oui;Calandrella brachydactyla;FALSE
CALCAL;CALCAL;Galliformes;Phasianidés;Colin de Californie;Callipepla californica;FALSE;non;oui;Callipepla californica;FALSE
CALCAN;CALCAN;Charadriiformes;Scolopacidés;Bécasseau maubèche;Calidris canutus;FALSE;non;oui;Calidris canutus;FALSE
CALDIO;CALDIO;Procellariiformes;Procéllariidés;Puffin cendré;Calonectris diomedea;FALSE;non;oui;Calonectris diomedea;FALSE
CALFER;CALFER;Charadriiformes;Scolopacidés;Bécasseau cocorli;Calidris ferruginea;FALSE;non;oui;Calidris ferruginea;FALSE
CALFUS;CALFUS;Charadriiformes;Scolopacidés;Bécasseau de Bonaparte;Calidris fuscicollis;FALSE;non;oui;Calidris fuscicollis;FALSE
CALLAP;CALLAP;Passériformes;Embérizidés;Bruant lapon;Calcarius lapponicus;FALSE;non;oui;Calcarius lapponicus;FALSE
CALLIS;CALLIS;Charadriiformes;Scolopacidés;Bécasseau à  cou roux;Calidris ruficollis;FALSE;non;oui;Calidris ruficollis Wagler;FALSE
CALLLA;CALLLA;Charadriiformes;Scolopacidés;Bécasseau minuscule;Calidris minutilla;FALSE;non;oui;Calidris minutilla;FALSE
CALMAR;CALMAR;Charadriiformes;Scolopacidés;Bécasseau violet;Calidris maritima;FALSE;non;oui;Calidris maritima;FALSE
CALMAU;CALMAU;Charadriiformes;Scolopacidés;Bécasseau d'Alaska;Calidris mauri;FALSE;non;oui;Calidris mauri;FALSE
CALMEL;CALMEL;Charadriiformes;Scolopacidés;Bécasseau tacheté;Calidris melanotos;FALSE;non;oui;Calidris melanotos;FALSE
CALMIN;CALMIN;Charadriiformes;Scolopacidés;Bécasseau minute;Calidris minuta;FALSE;non;oui;Calidris minuta;FALSE
CALPUS;CALPUS;Charadriiformes;Scolopacidés;Bécasseau semipalmé;Calidris pusilla;FALSE;non;oui;Calidris pusilla;FALSE
CALRUF;CALRUF;Passériformes;Alaudidés;Alouette pispolette;Calandrella rufescens;FALSE;non;oui;Calandrella rufescens;FALSE
CALTEM;CALTEM;Charadriiformes;Scolopacidés;Bécasseau de Temminck;Calidris temminckii;FALSE;non;oui;Calidris temminckii;FALSE
CAPEUR;CAPEUR;Caprimulgiformes;Caprimulgidés;Engoulevent d'Europe;Caprimulgus europaeus;FALSE;non;oui;Caprimulgus europaeus;FALSE
CAPRUF;CAPRUF;Caprimulgiformes;Caprimulgidés;Engoulevent à  collier roux;Caprimulgus ruficollis;FALSE;non;oui;Caprimulgus ruficollis Temminck;FALSE
CARCAN;CARCAN;Passériformes;Fringillidés;Linotte mélodieuse;Carduelis cannabina;TRUE;milieux agricoles;oui;Carduelis cannabina;TRUE
CARCAR;CARCAR;Passériformes;Fringillidés;Chardonneret élégant;Carduelis carduelis;TRUE;milieux batis;oui;Carduelis carduelis;TRUE
CARCHL;CARCHL;Passériformes;Fringillidés;Verdier d'Europe;Carduelis chloris;TRUE;milieux batis;oui;Carduelis chloris;TRUE
CARERY;CARERY;Passériformes;Fringillidés;Roselin cramoisi;Carpodacus erythrinus;FALSE;non;oui;Carpodacus erythrinus Pallas;FALSE
CARFLA;CARFLA;Passériformes;Fringillidés;Sizerin flammé;Carduelis flammea;FALSE;non;oui;Carduelis flammea;FALSE
CARHOR;CARHOR;Passériformes;Fringillidés;Sizerin blanchatre;Carduelis hornemanni;FALSE;non;oui;Carduelis hornemanni;FALSE
CARRIS;CARRIS;Passériformes;Fringillidés;Linotte à  bec jaune;Carduelis flavirostris;FALSE;non;oui;Carduelis flavirostris;FALSE
CARSPI;CARSPI;Passériformes;Fringillidés;Tarin des aulnes;Carduelis spinus;FALSE;non;oui;Carduelis spinus;FALSE
CATMIN;CATMIN;Passériformes;Turdidés;Grive à  joues grises;Catharus minimus;FALSE;non;oui;Catharus minimus;FALSE
CATSEM;CATSEM;Charadriiformes;Scolopacidés;Chevalier semi-palmé;Catoptrophorus semipalmatus;FALSE;non;oui;Catoptrophorus semipalmatus;FALSE
CATUST;CATUST;Passériformes;Turdidés;Grive à  dos olive;Catharus ustulatus;FALSE;non;oui;Catharus ustulatus;FALSE
CEPGRY;CEPGRY;Charadriiformes;Alcidés;Guillemot à  miroir;Cepphus grylle;FALSE;non;oui;Cepphus grylle;FALSE
CERBRA;CERBRA;Passériformes;Certhiidés;Grimpereau des jardins;Certhia brachydactyla;TRUE;milieux forestiers;oui;Certhia brachydactyla Brehm;TRUE
CERFAM;CERFAM;Passériformes;Certhiidés;Grimpereau des bois;Certhia familiaris;TRUE;milieux forestiers;oui;Certhia familiaris;TRUE
CERGAL;CERGAL;Passériformes;Turdidés;Agrobate roux;Cercotrichas galactotes;FALSE;non;oui;Cercotrichas galactotes;FALSE
CETCET;CETCET;Passériformes;Sylvidés;Bouscarle de Cetti;Cettia cetti;FALSE;non;oui;Cettia cetti;TRUE
CHAALE;CHAALE;Charadriiformes;Charadriidés;Gravelot à  collier interrompu;Charadrius alexandrinus;FALSE;non;oui;Charadrius alexandrinus;FALSE
CHAASI;CHAASI;Charadriiformes;Charadriidés;Pluvier asiatique;Charadrius asiaticus;FALSE;non;oui;Charadrius asiaticus Pallas;FALSE
CHADUB;CHADUB;Charadriiformes;Charadriidés;Petit Gravelot;Charadrius dubius;FALSE;non;oui;Charadrius dubius Scopoli;TRUE
CHAHIA;CHAHIA;Charadriiformes;Charadriidés;Grand Gravelot;Charadrius hiaticula;FALSE;non;oui;Charadrius hiaticula;FALSE
CHALES;CHALES;Charadriiformes;Charadriidés;Gravelot de Leschenault;Charadrius leschenaultii;FALSE;non;oui;Charadrius leschenaultii Lesson;FALSE
CHAMOR;CHAMOR;Charadriiformes;Charadriidés;Pluvier guignard;Eudromias morinellus;FALSE;non;oui;Eudromias morinellus;FALSE
CHAVOC;CHAVOC;Charadriiformes;Charadriidés;Gravelot kildir;Charadrius vociferus;FALSE;non;oui;Charadrius vociferus;FALSE
CHEDUP;CHEDUP;Passériformes;Alaudidés;Sirli de Dupont;Chersophilus duponti;FALSE;non;oui;Chersophilus duponti;FALSE
CHEGRE;CHEGRE;Charadriiformes;Charadriidés;Vanneau sociable;Chettusia gregaria;FALSE;non;oui;Chettusia gregaria;FALSE
CHELEU;CHELEU;Charadriiformes;Charadriidés;Vanneau à  queue blanche;Chettusia leucura;FALSE;non;oui;Chettusia leucura;FALSE
CHLHYB;CHLHYB;Charadriiformes;Sternidés;Guifette moustac;Chlidonias hybridus;FALSE;non;oui;Chlidonias hybridus;FALSE
CHLLEU;CHLLEU;Charadriiformes;Sternidés;Guifette leucoptère;Chlidonias leucopterus;FALSE;non;oui;Chlidonias leucopterus;FALSE
CHLNIG;CHLNIG;Charadriiformes;Sternidés;Guifette noire;Chlidonias niger;FALSE;non;oui;Chlidonias niger;FALSE
CHLUND;CHLUND;Gruiformes;Otididés;Outarde houbara;Chlamydotis undulata;FALSE;non;oui;Chlamydotis undulata;FALSE
CICCIC;CICCIC;Ciconiiformes;Ciconiidés;Cigogne blanche;Ciconia ciconia;FALSE;non;oui;Ciconia ciconia;TRUE
CICNIG;CICNIG;Ciconiiformes;Ciconiidés;Cigogne noire;Ciconia nigra;FALSE;non;oui;Ciconia nigra;FALSE
CINCIN;CINCIN;Passériformes;Cinclidés;Cincle plongeur;Cinclus cinclus;FALSE;non;oui;Cinclus cinclus;TRUE
CIRAER;CIRAER;Accipitriformes;Accipitridés;Busard des roseaux;Circus aeruginosus;FALSE;non;oui;Circus aeruginosus;TRUE
CIRCYA;CIRCYA;Accipitriformes;Accipitridés;Busard Saint-Martin;Circus cyaneus;FALSE;non;oui;Circus cyaneus;TRUE
CIRGAL;CIRGAL;Accipitriformes;Accipitridés;Circaète Jean-le-blanc;Circaetus gallicus;FALSE;non;oui;Circaetus gallicus;TRUE
CIRMAC;CIRMAC;Accipitriformes;Accipitridés;Busard pale;Circus macrourus;FALSE;non;oui;Circus macrourus;FALSE
CIRPYG;CIRPYG;Accipitriformes;Accipitridés;Busard cendré;Circus pygargus;FALSE;non;oui;Circus pygargus;TRUE
CISJUN;CISJUN;Passériformes;Sylvidés;Cisticole des joncs;Cisticola juncidis;FALSE;non;oui;Cisticola juncidis;TRUE
CLAGLA;CLAGLA;Cuculiformes;Cuculidés;Coucou geai;Clamator glandarius;FALSE;non;oui;Clamator glandarius;TRUE
CLAHYE;CLAHYE;Ansériformes;Anatidés;Harelde boréale;Clangula hyemalis;FALSE;non;oui;Clangula hyemalis;FALSE
COCAME;COCAME;Cuculiformes;Cuculidés;Coulicou à  bec jaune;Coccyzus americanus;FALSE;non;oui;Coccyzus americanus;FALSE
COCCOC;COCCOC;Passériformes;Fringillidés;Grosbec casse-noyaux;Coccothraustes coccothraustes;TRUE;milieux forestiers;oui;Coccothraustes coccothraustes;TRUE
COLLIV;COLLIV;Columbiformes;Columbidés;Pigeon biset;Columba livia;FALSE;non;oui;Columba livia Gmelin;TRUE
COLOEN;COLOEN;Columbiformes;Columbidés;Pigeon colombin;Columba oenas;FALSE;non;oui;Columba oenas;TRUE
COLPAL;COLPAL;Columbiformes;Columbidés;Pigeon ramier;Columba palumbus;TRUE;generaliste;oui;Columba palumbus;TRUE
COLVIR;COLVIR;Galliformes;Phasianidés;Colin de Virginie;Colinus virginianus;FALSE;non;oui;Colinus virginianus;FALSE
CORCOR;CORCOR;Passériformes;Corvidés;Corneille noire;Corvus corone;TRUE;generaliste;oui;Corvus corone;TRUE
CORDAU;CORDAU;Passériformes;Corvidés;Choucas de Daourie;Corvus dauuricus;FALSE;non;oui;Corvus dauuricus Pallas;FALSE
CORFRU;CORFRU;Passériformes;Corvidés;Corbeau freux;Corvus frugilegus;TRUE;milieux agricoles;oui;Corvus frugilegus;TRUE
CORGAR;CORGAR;Coraciiformes;Coraciidés;Rollier d'Europe;Coracias garrulus;FALSE;non;oui;Coracias garrulus;TRUE
CORMON;CORMON;Passériformes;Corvidés;Choucas des tours;Corvus monedula;TRUE;milieux batis;oui;Corvus monedula;TRUE
CORRAX;CORRAX;Passériformes;Corvidés;Grand Corbeau;Corvus corax;FALSE;non;oui;Corvus corax;TRUE
COTCOT;COTCOT;Galliformes;Phasianidés;Caille des blés;Coturnix coturnix;TRUE;milieux agricoles;oui;Coturnix coturnix;TRUE
CRECRE;CRECRE;Gruiformes;Rallidés;Rale des genêts;Crex crex;FALSE;non;oui;Crex crex;FALSE
CUCCAN;CUCCAN;Cuculiformes;Cuculidés;Coucou gris;Cuculus canorus;TRUE;generaliste;oui;Cuculus canorus;TRUE
CURCUR;CURCUR;Charadriiformes;Glaréolidés;Courvite isabelle;Cursorius cursor;FALSE;non;oui;Cursorius cursor;FALSE
CYACYA;CYACYA;Passériformes;Corvidés;Pie bleue;Cyanopica cyana;FALSE;non;oui;Cyanopica cyana;FALSE
CYGATR;CYGATR;Ansériformes;Anatidae;Cygne noir;Cygnus atratus;FALSE;non;oui;Cygnus atratus;FALSE
CYGCOL;CYGCOL;Ansériformes;Anatidés;Cygne de Bewick;Cygnus columbianus;FALSE;non;oui;Cygnus columbianus Yarrell;FALSE
CYGCYG;CYGCYG;Ansériformes;Anatidés;Cygne chanteur;Cygnus cygnus;FALSE;non;oui;Cygnus cygnus;FALSE
CYGOLO;CYGOLO;Ansériformes;Anatidés;Cygne tuberculé;Cygnus olor;FALSE;non;oui;Cygnus olor;TRUE
