"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Car340098-2019-Pass1-Z31-013676_20190329_205915_094"	0	0.7	29	"noise"	0.76	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_205924_171"	0	2	27	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_205926_831"	0.5	1.5	27	"noise"	0.78	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_205931_820"	0	3.9	32	"noise"	0.95	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_205936_820"	0.2	0.5	31	"noise"	0.85	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_205938_996"	0	1.6	17	"noise"	0.91	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210100_204"	0	0.1	36	"Phogri"	0.1	"noise"	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210146_047"	0	3.2	28	"noise"	0.99	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210151_738"	1	1.1	39	"Leppun"	0.03	"Tetvir"	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210151_738"	0	4.8	18	"noise"	0.98	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210156_738"	0.6	0.8	26	"noise"	0.96	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210213_774"	1.2	4.8	34	"noise"	0.68	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210218_820"	0.5	0.6	40	"Leppun"	0.03	"Yerray, Tetvir, Pipkuh"	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210218_820"	0	2	34	"noise"	0.86	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210224_417"	0.1	2.1	25	"noise"	0.98	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210226_672"	0	1.3	31	"noise"	0.86	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210228_961"	0	2.6	26	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210415_231"	0	0.1	34	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210852_928"	0	0.1	10	"noise"	0.84	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_210942_101"	0.2	0.3	24	"noise"	0.69	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_211146_123"	0	0.9	11	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_211215_950"	0.3	0.4	8	"noise"	0.92	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_211328_922"	1.2	1.3	8	"piaf"	0.19	"noise"	NA	NA	""	""	"5caba52defb48f000fcf28b1"
"Car340098-2019-Pass1-Z31-013676_20190329_211338_247"	0.2	1	19	"noise"	0.98	""	NA	NA	""	""	"5caba52defb48f000fcf28b1"
