espece
ACCGEN
ACCNIS
ACRARU
ACRRIS
ACRSCH
ACRSCI
ACTHYP
AEGCAU
ALAARV
ALCATT
ALERUF
ANAPLA
ANTCAM
ANTPRA
ANTSPI
ANTTRI
APUAPU
APUMEL
ARDCIN
ARDPUR
ATHNOC
BUBIBI
BUROED
BUTBUT
CARCAN
CARCAR
CARCHL
CERBRA
CERFAM
CETCET
CHADUB
CICCIC
CINCIN
CIRAER
CIRCYA
CIRGAL
CIRPYG
CISJUN
CLAGLA
COCCOC
COLLIV
COLOEN
COLPAL
CORCOR
CORFRU
CORGAR
CORMON
CORRAX
COTCOT
CUCCAN
CYGOLO
DELURB
DENMAJ
DENMED
DENMIN
DRYMAR
EGRGAR
EMBCIA
EMBCIR
EMBCIT
EMBHOR
EMBSCH
ERIRUB
FALPER
FALSUB
FALTIN
FICHYP
FRICOE
FULATR
GALCHL
GALCRI
GALGAL
GARGLA
HIMHIM
HIPICT
HIPPOL
HIRRUS
JYNTOR
LANCOL
LANEXC
LANMER
LANSEN
LARARG
LARFUS
LARMAR
LARMEL
LARMIC
LARRID
LOCNAE
LOXCUR
LULARB
LUSMEG
LUSSVE
MERAPI
MILCAL ou EMBCAL
MILMIG
MILMIL
MONSAX
MONSOL
MOTALB
MOTCIN
MOTFLA
MUSSTR
NUCCAR
NUMARQ
NYCNYC
OENHIS
OENOEN
ORIORI
PARATE
PARCAE
PARCRI
PARMAJ
PARMON
PARPAL
PASDOM
PASMON
PERAPI
PERPER
PETPET
PHACAR
PHACOL
PHOOCH
PHOPHO
PHYBON
PHYCOL
PHYSIB
PHYTRO
PICCAN
PICPIC
PICVIR
PODCRI
PRUCOL
PRUMOD
PTYRUP
PYRGRA
PYRPYR
PYRRAX
RALAQU
RECAVO
REGIGN
REGREG
RIPRIP
SAXRUB
SAXTOR
SERCIT
SERSER
SITEUR
STEHIR
STRDEC
STRTUR
STUVUL
SYLATR
SYLBOR
SYLCAN
SYLCOM
SYLCUR
SYLHOR
SYLMEL
SYLUND
TACRUF
TADTAD
TETRAX
TETRIX
THRAET
TRITOT
TROTRO
TURMER
TURPHI
TURPIL
TURTOR
TURVIS
UPUEPO
VANVAN

