"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053652_676"	"Pippip"	1.4	1.5	48	0.608	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0.004	0	0.004	0	0	0	0	0	0.002	0.002	0.008	0.006	0.004	0	0.008	0.006	0	0	0	0	0.018	0	0.008	0.014	0.89	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0	"Pippip"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053703_473"	"noise"	0	3.4	35	0.678	"Testes, Tetvir, Confus"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0.002	0	0	0	0	0	0	0	0.002	0.012	0	0	0.004	0	0.006	0.002	0.004	0.008	0	0.02	0.022	0	0.004	0	0.004	0	0	0	0.002	0.006	0.022	0	0.012	0	0.022	0	0.008	0	0	0.002	0.002	0	0.012	0.002	0	0.006	0.008	0.518	0.006	0.004	0.002	0	0.002	0.004	0	0.034	0.032	0.002	0.008	0.028	0.008	0	0	0	0.004	0	0.002	0	0.002	0.002	0	0.002	0	0	0.002	0.002	0.008	0.004	0.014	0.002	0.006	0.01	0	0	0.068	0	0	0	0	0	0	0.002	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053708_473"	"noise"	0	5	9	0.684	"piaf"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.042	0	0	0.002	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0	0	0.008	0	0.002	0	0.026	0.012	0	0.004	0	0	0	0	0	0.002	0.002	0.028	0.004	0.034	0	0.01	0	0	0	0	0	0.002	0	0.004	0.002	0	0.002	0.006	0.534	0.002	0.002	0.006	0	0.002	0.006	0.002	0.026	0.066	0	0.006	0.03	0.004	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0.006	0	0.002	0.002	0.006	0	0.024	0.002	0	0	0.07	0	0	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053713_473"	"Pippip"	0	0.1	48	0.556	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	0	0	0	0.01	0	0.002	0	0	0	0	0	0.004	0	0.01	0.004	0.002	0	0.008	0.002	0	0	0	0	0.016	0	0.008	0.014	0.898	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.004	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	"Pippip"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053718_680"	"noise"	0	3.8	9	0.58	"Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0	0	0	0.002	0	0	0	0.002	0	0	0	0	0.002	0	0	0.006	0.002	0.004	0	0.03	0.012	0	0.004	0	0	0	0	0	0.002	0.002	0.016	0	0.034	0	0.008	0	0	0	0	0	0.002	0	0.002	0.002	0	0.002	0.004	0.616	0.002	0.002	0.004	0	0.002	0.002	0	0.028	0.064	0	0.004	0.006	0.006	0.002	0	0	0.006	0	0.002	0.002	0.002	0	0	0	0	0	0.002	0	0.002	0.002	0.004	0	0.02	0	0	0	0.054	0	0	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053723_072"	"piaf"	0	3.3	10	0.546	"noise, Phogri, Leppun, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.012	0	0	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.008	0.004	0	0	0.022	0.02	0	0	0	0	0	0	0	0	0.002	0.002	0	0	0.03	0	0	0	0.002	0	0.002	0	0	0	0	0	0	0	0	0.08	0	0	0.002	0	0	0.004	0	0.014	0.726	0	0	0.006	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.002	0.006	0	0.004	0.002	0	0	0.032	0.004	0	0	0.002	0	0	0	0	"piaf"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053723_072"	"noise"	0	3.9	37	0.434	"Leppun, Testes, Phogri"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.01	0	0.006	0.004	0.002	0.004	0.008	0.024	0.022	0	0.002	0	0.004	0	0	0	0.002	0.004	0.012	0	0.002	0	0.032	0	0.01	0.002	0.002	0.002	0.002	0	0.006	0.006	0	0.01	0.006	0.49	0.01	0.004	0.002	0	0.002	0.008	0.002	0.026	0.102	0.006	0.006	0.012	0.004	0	0.002	0	0.002	0	0.002	0.002	0.004	0.004	0	0.002	0	0	0.002	0.004	0.006	0.006	0.02	0.002	0	0.008	0	0	0.048	0	0.002	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053731_802"	"noise"	0	3.7	23	0.634	"Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.004	0.002	0.008	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.01	0	0.022	0	0.016	0	0.002	0	0	0	0.002	0	0.002	0.002	0	0.002	0.008	0.606	0.002	0.006	0.006	0	0.006	0.01	0	0.038	0.036	0	0.002	0.014	0.006	0.004	0.002	0	0	0	0.006	0.002	0.006	0	0	0	0	0	0.004	0	0.006	0.004	0.004	0	0.006	0	0	0	0.058	0	0.008	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053738_824"	"noise"	0.6	3.6	11	0.706	""	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0	0.006	0	0.002	0	0.028	0.014	0	0.004	0	0	0	0	0	0.002	0.002	0.004	0.002	0.046	0	0.01	0	0	0	0	0	0	0	0.004	0.002	0	0.002	0.008	0.566	0.002	0.002	0.004	0	0.002	0.008	0	0.028	0.086	0	0.006	0.018	0.004	0.002	0	0	0.004	0	0.002	0.002	0	0	0	0	0	0	0.002	0	0.004	0.002	0.004	0	0.026	0	0	0	0.056	0	0	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053743_824"	"noise"	1	3.7	23	0.546	"Pippip, Phogri, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.024	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0	0.004	0.002	0.008	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.008	0	0.018	0	0.018	0	0.002	0	0	0	0	0	0.002	0.002	0	0.002	0.012	0.604	0.002	0.008	0.006	0	0.006	0.008	0	0.04	0.036	0	0.002	0.016	0.004	0.006	0.002	0	0.004	0	0.006	0.004	0.006	0	0	0	0	0	0.002	0.004	0.004	0.004	0.01	0	0.006	0	0	0	0.052	0	0.006	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053748_824"	"noise"	1.5	4.9	24	0.552	"piaf, Phogri, Tetvir"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.004	0.002	0.008	0	0.022	0.008	0	0.012	0	0	0	0	0	0.002	0	0.01	0	0.022	0	0.016	0	0.002	0	0	0	0.002	0	0.002	0.004	0	0.002	0.008	0.6	0.002	0.008	0.006	0	0.006	0.008	0	0.04	0.036	0	0.002	0.014	0.006	0.006	0.002	0	0.004	0	0.006	0.002	0.006	0	0	0.002	0	0	0.002	0.004	0.006	0.004	0.008	0	0.004	0	0	0	0.052	0	0.006	0	0	0	0	0	0	"noise"
"Car291547-2017-Pass1-Z1-017329_0_20170610_053753_824"	"noise"	0.1	3.6	19	0.586	"Pippip"	""	""	""	""	"5953ed2308e75a000faee4e8"	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.002	0	0.006	0.002	0.006	0	0.022	0.008	0	0.01	0	0	0	0	0	0.002	0	0.016	0	0.024	0	0.012	0	0	0	0	0	0.002	0	0.004	0.002	0	0.002	0.008	0.62	0.002	0.006	0.004	0	0.006	0.012	0	0.04	0.036	0	0.002	0.014	0.008	0.004	0.002	0	0.002	0	0.006	0.002	0.004	0	0	0	0	0	0.002	0.002	0.006	0.004	0.004	0	0.006	0	0	0	0.04	0	0.004	0	0	0	0	0	0	"noise"
