"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antius"	"Antped"	"Antsor"	"Aposp"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicatr"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eupsp"	"gril"	"Hypsav"	"Insp11"	"Insp12"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Metsau"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Ptecor"	"Pteger"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetpyg"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"Zeuabb"	"ProbEsp_C2bs"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00325_000"	"noise"	0.3	5	15	0.886	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.004	0	0.002	0	0.002	0.002	0	0.002	0	0	0	0	0	0.006	0	0.08	0.002	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0.452	0	0.002	0.004	0	0.006	0.026	0.006	0.09	0.052	0.006	0.02	0.034	0.014	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.03	0.004	0.006	0.012	0	0	0.096	0	0	0	0	0	0	0	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00330_000"	"noise"	0.1	5	24	0.65	"piaf, Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.002	0	0.004	0.004	0	0.002	0	0.002	0.004	0	0	0	0	0	0	0	0.012	0	0.07	0	0	0	0.002	0	0	0.002	0	0	0	0	0.002	0.002	0	0	0	0.44	0	0.004	0.008	0	0.024	0.026	0.006	0.108	0.04	0.006	0.01	0.048	0.018	0.002	0	0	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0.016	0.022	0.01	0.004	0.01	0	0	0.064	0	0.002	0	0.002	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00335_000"	"noise"	0	5	45	0.702	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0	0.006	0	0.006	0.004	0	0.002	0	0.002	0.002	0	0	0	0	0	0	0	0.002	0	0.054	0	0	0	0	0.004	0.006	0.016	0.004	0	0.01	0	0	0.014	0.004	0.01	0.006	0.458	0	0	0.006	0	0.004	0.018	0.006	0.064	0.022	0.006	0.014	0.068	0.026	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0.002	0	0.018	0.004	0.028	0.004	0.022	0.012	0	0	0.04	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00340_000"	"noise"	0	5	45	0.694	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.004	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0	0.006	0	0.006	0.004	0	0.002	0	0.002	0.002	0	0	0	0	0	0	0	0.002	0	0.056	0	0	0	0	0.004	0.006	0.016	0.004	0	0.01	0	0	0.014	0.004	0.012	0.008	0.452	0	0	0.006	0	0.004	0.016	0.006	0.066	0.022	0.006	0.014	0.068	0.026	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0.002	0	0.018	0.004	0.028	0.004	0.022	0.012	0	0	0.04	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00345_000"	"noise"	0	5	45	0.738	"Pippip, Tetvir"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0	0.004	0	0.008	0.004	0	0	0	0.002	0.002	0	0	0	0	0	0	0	0.002	0	0.062	0	0	0	0	0.004	0.006	0.016	0.004	0	0.01	0	0	0.014	0.004	0.006	0.006	0.46	0	0	0.006	0	0.004	0.014	0.006	0.066	0.02	0.008	0.014	0.068	0.026	0	0	0	0.002	0	0	0	0	0	0	0	0	0.004	0.002	0	0.018	0.004	0.03	0.004	0.024	0.01	0	0	0.04	0	0	0	0.004	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00350_000"	"noise"	0	5	20	0.728	"Pippip, Urorug"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.002	0.004	0	0	0	0.002	0.004	0	0.002	0	0	0	0	0	0.008	0	0.07	0	0.002	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0	0	0.472	0	0.002	0.004	0	0.014	0.026	0.006	0.108	0.044	0.008	0.01	0.042	0.016	0.002	0	0	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0.016	0.024	0.008	0.004	0.008	0	0	0.066	0	0	0	0	0	0	0	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00355_000"	"noise"	0	5	31	0.678	"Pippip, Urorug, Tetvir"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.002	0	0.008	0.004	0	0.006	0	0.002	0.01	0	0	0	0	0	0	0	0.01	0	0.116	0	0	0	0.004	0	0	0.002	0	0	0	0	0.002	0.002	0	0.004	0	0.408	0	0.008	0.002	0	0.014	0.03	0.004	0.09	0.036	0.01	0.008	0.042	0.022	0	0.002	0	0.006	0	0	0	0.002	0	0	0	0	0	0	0	0	0.014	0.02	0.01	0.004	0.016	0	0	0.054	0	0	0	0.006	0	0	0.002	0	"noise"
"Cir750016-2011-Pass1-Tron8-Chiro_1_00360_000"	"noise"	0	1.8	40	0.608	"Pippip"	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.028	0.004	0	0	0	0	0.01	0	0	0	0	0	0	0	0.002	0.002	0.062	0	0	0	0.002	0.002	0.006	0.01	0.002	0	0.004	0	0.002	0.008	0.002	0.008	0.002	0.422	0	0.002	0.002	0	0.012	0.018	0.008	0.074	0.03	0.002	0.012	0.07	0.018	0	0	0	0.002	0	0.002	0	0.006	0	0.002	0.002	0	0.004	0	0.002	0.008	0.01	0.032	0.006	0.012	0.012	0	0	0.048	0	0	0	0.01	0	0	0.008	0	"noise"
"Cir750016-2011-Pass1-Tron9-Chiro_0_00000_000"	"noise"	0	0.5	204	0.758	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0.002	0	0.004	0	0	0.002	0	0	0	0	0	0	0	0.002	0	0.064	0	0	0	0	0.004	0	0.01	0.002	0	0.008	0	0	0.014	0	0	0.002	0.482	0	0	0.018	0	0.002	0.016	0.006	0.09	0.02	0.016	0.012	0.082	0.022	0	0	0	0.002	0	0.004	0.006	0.002	0	0	0	0	0.004	0	0	0.006	0.002	0.028	0.002	0.01	0.004	0	0	0.032	0	0	0	0.006	0	0	0.004	0	"noise"
"Cir750016-2011-Pass1-Tron9-Chiro_0_00005_000"	"noise"	0	0.2	25	0.534	""	""	""	""	""	"58c1c2fd1d1968f8140000b2"	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0.006	0.004	0	0.002	0	0.002	0.008	0	0	0	0	0	0	0	0.006	0.002	0.068	0	0	0	0.004	0	0	0.002	0	0	0	0	0.004	0.002	0	0.002	0	0.44	0	0.006	0.012	0	0.034	0.024	0.006	0.102	0.036	0.006	0.006	0.054	0.018	0	0	0	0.006	0.002	0.002	0.002	0.002	0	0	0	0	0	0	0	0	0.014	0.028	0.008	0.004	0.01	0	0	0.048	0	0.002	0	0.004	0	0	0.002	0	"noise"
