"nom du fichier"	"tadarida_taxon"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"amph"	"Antped"	"Antsor"	"Aposyl"	"Barbar"	"Barfis"	"Barsan"	"Barser"	"Bicbic"	"chirp"	"Cicorn"	"Concon"	"Confus"	"Corcho"	"criq"	"Cympud"	"Cyrscu"	"Decalb"	"Epheph"	"Eptnil"	"Eptser"	"Eumbor"	"Eupcha"	"Euptyr"	"Grycam"	"Hypsav"	"Inssp5"	"Inssp6"	"Inssp7"	"Inssp8"	"Inssp9"	"Isopyr"	"Lamsp."	"Leppun"	"Lyrple"	"mamm"	"Micagr"	"Minsch"	"Mussp"	"Myoalc"	"Myobec"	"Myobra"	"Myocap"	"Myodas"	"Myodau"	"Myoema"	"MyoGT"	"Myomys"	"Myonat"	"noise"	"Nyclas"	"Nyclei"	"Nycnoc"	"Ortsp."	"Phafal"	"Phanan"	"Phofem"	"Phogri"	"piaf"	"Pipkuh"	"Pipmad"	"Pipnat"	"Pippip"	"Pippyg"	"Plaaff"	"Plaalb"	"Plafal"	"Plaint"	"Plasab"	"Pleaur"	"Pleaus"	"Plemac"	"Ptebon"	"Pteger"	"Ptehey"	"Ptepon"	"Ratnor"	"Rhieur"	"Rhifer"	"Rhihip"	"Roeroe"	"Rusnit"	"Sepsep"	"Tadten"	"Testes"	"Tetcan"	"Tetvir"	"Thycor"	"Tyllil"	"Urobre"	"Urorug"	"Vesmur"	"Yerbey"	"Yerray"	"ProbEsp_C2bs"
"Cir437-2014-Pass1-Tron5-Chiro_0_00265_000"	"noise"	0.2	0.5	116	0.736	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.042	0	0	0.002	0	0	0	0	0.004	0	0	0	0	0	0	0	0.034	0	0	0.002	0.006	0	0.018	0	0	0.006	0	0.002	0.004	0	0.008	0.004	0.294	0	0	0.052	0	0.018	0.03	0.004	0.08	0.002	0.012	0.01	0.006	0.076	0.01	0	0.044	0	0	0.002	0.016	0	0	0.002	0	0	0.002	0	0.02	0	0.022	0.002	0.044	0.002	0.006	0.038	0.002	0.058	0	0.004	0	0	0	0	0.004	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00270_000"	"noise"	0	0.5	114	0.684	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.002	0	0.036	0	0	0.004	0	0	0	0	0.004	0	0	0	0	0	0	0	0.03	0	0	0.002	0.008	0	0.018	0	0	0.006	0	0.002	0.004	0	0.008	0.004	0.278	0	0	0.056	0	0.02	0.032	0.004	0.092	0	0.006	0.01	0.008	0.074	0.01	0	0.046	0	0.002	0.004	0.016	0	0	0.002	0	0	0.002	0	0.02	0	0.02	0.002	0.048	0.002	0.006	0.038	0.002	0.064	0	0.002	0	0	0	0	0.004	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00275_000"	"noise"	0	0.5	111	0.366	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0	0.002	0	0.038	0.002	0	0.002	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0	0.03	0	0	0.008	0	0.002	0.006	0	0.006	0.002	0.27	0	0.002	0.048	0	0.026	0.028	0.008	0.1	0	0.008	0.014	0.008	0.058	0.014	0	0.032	0	0.006	0.004	0.014	0	0	0.002	0	0	0.002	0	0.036	0	0.02	0.002	0.036	0.002	0.006	0.026	0.002	0.074	0	0.002	0	0.002	0	0	0.006	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00280_000"	"noise"	0.3	0.5	31	0.546	"Tetvir, Phogri"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.008	0.002	0.002	0	0	0.002	0.008	0.002	0.002	0	0	0.002	0.008	0	0	0.01	0.002	0.036	0.016	0.002	0.002	0.002	0	0.002	0.002	0.002	0	0	0.002	0	0	0.002	0.002	0.042	0	0.002	0	0.002	0	0.004	0	0	0.004	0	0	0.002	0	0	0	0.196	0	0.004	0.014	0	0.054	0.042	0.008	0.074	0.012	0.006	0.006	0.002	0.034	0	0.006	0.052	0	0.022	0.006	0.004	0.002	0.002	0.002	0	0	0.002	0	0.002	0	0	0.012	0.054	0.002	0	0.072	0.002	0.104	0	0.02	0	0.002	0	0	0.006	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00285_000"	"noise"	0	0.2	27	0.586	"Tetvir"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.008	0.002	0.004	0	0	0.004	0.006	0	0.002	0	0	0.002	0.01	0	0	0.006	0.002	0.028	0.014	0.002	0.004	0	0	0.002	0.002	0.002	0	0	0	0	0	0.002	0	0.038	0	0.002	0	0.002	0	0.004	0	0	0.002	0	0	0.002	0	0	0	0.194	0	0.006	0.014	0	0.062	0.036	0.004	0.076	0.014	0.01	0.004	0.002	0.028	0.006	0.006	0.048	0	0.018	0.008	0.002	0.002	0.002	0.002	0	0	0.002	0	0.002	0	0	0.014	0.06	0.004	0	0.066	0.002	0.12	0	0.026	0	0.002	0	0	0.006	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00295_000"	"noise"	0.3	0.5	41	0.742	"Phogri"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0	0	0	0	0	0	0.002	0	0	0	0.004	0	0	0.008	0	0.056	0.002	0.002	0.002	0	0	0.004	0	0.01	0	0	0	0	0	0	0.002	0.036	0	0	0.002	0	0	0.012	0	0	0.008	0	0.006	0.006	0	0.018	0.002	0.246	0	0	0.014	0	0.026	0.038	0.012	0.07	0.008	0.01	0.016	0.01	0.058	0.012	0	0.052	0	0	0.002	0.004	0	0.002	0.002	0.004	0	0.002	0.002	0	0.004	0.01	0.002	0.052	0.002	0.008	0.062	0.002	0.066	0	0.008	0	0	0	0	0.012	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00300_000"	"noise"	0	0.2	204	0.504	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0.002	0	0	0.004	0	0.036	0.002	0	0.002	0	0	0	0	0.004	0	0	0	0	0	0	0	0.02	0	0	0	0.008	0	0.022	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.274	0	0	0.056	0	0.024	0.03	0.006	0.102	0	0.01	0.012	0.01	0.07	0.012	0	0.03	0	0.006	0.002	0.024	0	0	0.002	0	0	0.002	0	0.032	0	0.016	0.002	0.046	0.002	0.006	0.028	0.002	0.056	0	0.004	0	0	0	0	0.006	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00300_000"	"Pippip"	0.1	0.2	55	0.21	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0.002	0.004	0.002	0.01	0	0	0.006	0.002	0.004	0	0.002	0.026	0	0.002	0.006	0.002	0.008	0.012	0	0.01	0	0	0	0	0.02	0.002	0.004	0.002	0	0	0.006	0.016	0.01	0	0	0	0.018	0.002	0.002	0	0	0.01	0	0.038	0.036	0.004	0.056	0.016	0.03	0.002	0.002	0.026	0.002	0	0.008	0.01	0.022	0.002	0.062	0.05	0.006	0.196	0.028	0.008	0.024	0	0.01	0.002	0.004	0.008	0	0	0.002	0	0.004	0.002	0.016	0.004	0.006	0.016	0.02	0	0.002	0.026	0.004	0.03	0	0	0	0.002	0	0	0.024	"Pippip"
"Cir437-2014-Pass1-Tron5-Chiro_0_00305_000"	"noise"	0	0.5	114	0.434	""	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.038	0.002	0	0.004	0.002	0	0	0	0.002	0	0	0	0	0	0	0	0.028	0	0	0	0.008	0	0.03	0	0	0.008	0	0.002	0.006	0	0.006	0.004	0.274	0	0.002	0.05	0	0.026	0.028	0.006	0.1	0	0.008	0.014	0.008	0.062	0.012	0	0.032	0	0.006	0.004	0.014	0	0	0.002	0	0	0.002	0	0.034	0	0.018	0.002	0.04	0.002	0.006	0.028	0.002	0.064	0	0.002	0	0.002	0	0	0.006	"noise"
"Cir437-2014-Pass1-Tron5-Chiro_0_00310_000"	"noise"	0	0.5	22	0.706	"Tetvir, Phogri"	""	""	""	""	"57bd5c1cffdbe1000c46a8ed"	0.012	0.002	0.002	0	0	0.004	0.006	0	0.002	0	0	0	0.01	0	0	0.002	0.002	0.028	0.014	0.002	0.004	0	0	0.002	0.002	0.002	0	0	0	0	0	0.002	0	0.05	0	0.002	0	0.002	0	0.002	0	0	0.002	0	0	0	0	0	0	0.212	0	0.006	0.016	0	0.04	0.052	0.002	0.058	0.016	0.008	0.004	0.002	0.03	0.006	0.008	0.06	0	0.018	0.01	0.004	0	0	0.002	0	0	0.002	0	0	0	0	0.012	0.046	0.004	0	0.06	0.002	0.132	0	0.024	0	0.002	0	0	0.006	"noise"
